screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir,ze/zem
StoneBlazeButch,ButchBlaze🏳️‍⚧️🖤😈,Philadelphia ,"Multidisciplinary Artist, 🏳️‍⚧️TransMasculine 31.QueerAF.Verse 🐺, adult content 🔞 kink & leather. DM for scenes & booking.   cash app tips: $bryanjmckinney","Would of preferred this cum shot on your face. 😈

Vid on OF 
#accountant #cumshot #ftm #ftmmanhole #ftmbottom… https://t.co/NUyX5FWNxc",no,no,no,no,no,no,
JayGee47505179,JayGee,Third rock from sun,"Female, bearer of ovaries, cramps and no known illegitimate offspring.  Also alliterations are awesome.",@DJFLevesley Our romantic lives are not an impartial venture.  It is the one arena in which we must exclude every p… https://t.co/aFI3G21UmE,no,no,no,no,no,no,
LaradeClare1,Lara de Clare,Ireland,Believer in material reality. 💚🤍💜,@wolf_pack3d Why? I am a heterosexual female I would not ever be interested in a transman in any sort of sexual situation.,no,no,no,no,no,no,
aew4_life,AEW4Life,,,"@AngelaVolkov Ohhhhh I was thinking the other way around, like a transman entering the ring against a man, that's k… https://t.co/SqpOagKBf4",no,no,no,no,no,no,
ClareWa68428306,Greenbeans,,Gender Critical,RT @CEJacksonLaw: “I’ve spent years talking with believers &amp; with atheists trying to understand Orthodox Gender doctrines. As a result of m…,no,no,no,no,no,no,
toadbaiter,Shazia Khan #BLM,"Toulouse, France",Curse the culture that kills its daughters.,RT @CEJacksonLaw: “I’ve spent years talking with believers &amp; with atheists trying to understand Orthodox Gender doctrines. As a result of m…,no,no,no,no,no,no,
betsvigi9,🏁🟥 🦕Oviraptor Bagshot 🦕,Huddersfield,"Lesbian, female homosexual #WeAreAllMarionMillar  #TheStanilandQuestion. No males in female single sex spaces.  None at all.  No thank you.",RT @CEJacksonLaw: “I’ve spent years talking with believers &amp; with atheists trying to understand Orthodox Gender doctrines. As a result of m…,no,no,no,no,no,no,
LiamZupp,Liam,"New York, NY",| 🪐 | he/him |,@RachChamp_ I was denied health care at the same type of facility as a Transman 🙃,yes,no,no,no,no,no,
Hasney1,Up the hill backwards,"Newcastle upon Tyne, UK","Read widely, think freely, never give in to the mob, have a nice life.",RT @CEJacksonLaw: “I’ve spent years talking with believers &amp; with atheists trying to understand Orthodox Gender doctrines. As a result of m…,no,no,no,no,no,no,
AgentArrowsmith,Agent Arrowsmith,,"Yes, I'm autistic. 
No, I don't believe in gender woo woo.",RT @CEJacksonLaw: “I’ve spent years talking with believers &amp; with atheists trying to understand Orthodox Gender doctrines. As a result of m…,no,no,no,no,no,no,
