screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
MCSpare,Rina,,secondary account,@MissBilgewater .... It's an echo but oh well. Whatever works for her. Also the bimbo forgot how to lane properly s… https://t.co/1cBr3udYY6,no,no,no,no,no,no
00s_bimbo,your fav sagittarius ⁷🧚‍♀️,,20 🏳️‍🌈 she/her 18+ only pls,@shezartificial And the prize being a man?!?! Absolutely not 😭😭,no,yes,no,no,no,no
shadyxtra,Morgan,professional misandrist,Relapse and MMLP are sexy 💊🔪 you are not allowed to disagree with me about anything ‼️ (she/her),Malcom the OG “just print more money” bimbo https://t.co/TpHIUbF3R1,no,yes,no,no,no,no
Bimbo_Otun,‘Bimbo,"Lagos, Nigeria",Chemical Engineer | Medway Community organiser 19/20| All views are my own,"Omooo Spurs 3-2😂😂😂
Conte go kill these people",no,no,no,no,no,no
nahwanyay,birdieˣ❄️ IS A GEORGIA BLOOM HAVER,go wellies!+dolltwt+denalien,"gorgina glitter whore|black|she/her|20| $aricn21
#ENDSARS #FREEPALESTINE",RT @BackupVa: So I’m gonna need all my nonblack moots to not use bimbo from now on..,no,yes,no,no,no,no
mhizgoodhope,Goodhope🔱ˢᵀ,,"Jesus first
A staunch Titan 
@Symply_Tacha my fave",RT @Danisha__Bae: Tacha is just a free happy soul. I love how she relates with her international frds. Y’all can attest that she’s never th…,no,no,no,no,no,no
Enash615,enash,"Nashville, TN.",⭐⭐⭐⭐⭐,"RT @luxcompanionash: 💃🏼 I'm a blond bimbo girl in a fantasy world

Dress me up, make it tight, I'm your dolly

You're my doll, rock'n'roll,…",no,no,no,no,no,no
mpjazz1984,Mary Pearson,"Bronx, NY",Jazz singer and activist with a communications degree. Used to work every day to make the world more equal and just. Now just spends way too much time BEEing.,@ClaudiaRoseNYC @SusanDrubin1 Nah. Got in a mini fight with some since-blocked twitterer about the appropriateness… https://t.co/LABIjACXrM,no,no,no,no,no,no
mooncakeglitter,stargirl,,aesthetic nsfw. all photos are mine. 21. soft ☁️. mdni.,@himbo_bimbo only when i run,no,no,no,no,no,no
dotfag,Didier,"Lagos, Nigeria",#Mourinhonista,Seems Bimbo Daramola is the patron of the skit industry group because i'm actually wondering how he got involved in this.,no,no,no,no,no,no
tova3411,CloudyDayIsVaxxed,,Retired R.N. & gramma. ANTI-trump & fascism. Defend democracy no matter ur party affiliation-UNITE against authoritarianism. No DM's,The smart ass Barbie Bimbo should of gotten more time- in prison. https://t.co/AQpMFM58kP,no,no,no,no,no,no
AuntyRiri,Aunty Rita,Calabar,"Eat right, consult a dietitian.",RT @BhadmusAkeem: Taaooma posted this on her page explaining how their visitation to the Vice President went! They went to pay him a courte…,no,no,no,no,no,no
wvyypack,nut retention era,yo mommas house,kat’s 6’2 bitch,anytime this bimbo says “dOWnVotE” i just downvote her downvotes,no,no,no,no,no,no
75_bimbo,Bimbo_75,,An amazing person,@Gistloversblog1 This is really sad,no,no,no,no,no,no
FreeArcadianVox,Jose Ramos,"Rockville Centre, NY",The Voice of Free Arcadia. I cast my sails for those who longing to be free & are willing to do what it takes! Cohost of @podcastjs with @jayher17 & @papojons,"Whether you are a fan of Police Academy or a fan of Georgie Dann, today the singer of El Chinguito, and El Bimbo ha… https://t.co/qw9G6zca8F",no,no,no,yes,no,no
75_bimbo,Bimbo_75,,An amazing person,"@RepJayapal I don't get what the @TheDemocrats are doing esp @SenateDems , this is how they would continue till the… https://t.co/D920xIOcsr",no,no,no,no,no,no
arnold_notes1,kakashi,Nigeria,musician || #COYG ❤️,"RT @DemolaRewaju: Hon. Bimbo Daramola of Ekiti State (APC), led the delegation and presented on their behalf.
 
...😒😒",no,no,no,no,no,no
KDRchicken,KDR,Yarmouthport MA,"husband , father, grandfather and Independent,three grandsons. Biden/Harris,BLM #Resist and #AutismSpeaks I always follow back. No lists please🚫DM’s",@Agent_Kibi Orange is the new blonde bimbo.,no,no,no,no,no,no
gabbyycampbell_,gabs,they/she,20🔮 gemini ☼ gemini ☽ scorpio ↑,@bimbo_fairy No one fucks w my abbey,no,yes,yes,no,no,no
Bimbo_Otun,‘Bimbo,"Lagos, Nigeria",Chemical Engineer | Medway Community organiser 19/20| All views are my own,Idk why nuno didn’t just use the 3-4-3 at Spurs,no,no,no,no,no,no
glebbern,💧🌈❤️Graham Lebbern - Anti-Fascist.😷💉,Bindal and Wulgurukaba Land,"Retweets not endorsement. Ex B’ball wannabe.ALP Member (Left) . Climate Change Deniers/Trolls/Zealots, spelling/grammar Nazis blocked. Stroke Survivor. No DM’s.","RT @EddyJokovich: @Whiny_Bimbo @MediaAnalystOz But she asked him a question about Labor depicting Morrison as a Trump, and then wanted to p…",no,no,no,no,no,no
piccola_rose,Piccola Rose,Upstate New York,"Mother of 3, Nana to 7 and counting. Retired RN. Master Gardener. Love dancing and My Cats❤️Building back my  peeps",@funder @SoosLorene The Bimbo Defense didn’t work this time😁,no,no,no,no,no,no
555stargazer,Cœlica (New and Tasty!),"North Carolina, USA","sheep gf @okvirgin 🧡💛💚 // Celica, she/her, lesbian, the breath of suns // Ljne Halcon @ Excalibur",the only things stopping me from typing like a bimbo are shame and fatigue,no,yes,no,no,no,no
XECO_Bailey,XECO Bailey,,"Xbot - Life is strange obsessed
Xbox Exosystem Admin
https://t.co/TPnCbfVCh8",@Bimbo_Beans @Manny1995x @Xbox @geoffkeighley who said they where?,no,no,no,no,no,no
AustinDocherty,Austin Docherty,Humanity,"During Coronavirus Pandemic, observe physical distancing, #WearAMask and QR Code Contact Trace. #GetVaccinated","RT @EddyJokovich: @Whiny_Bimbo @MediaAnalystOz But she asked him a question about Labor depicting Morrison as a Trump, and then wanted to p…",no,no,no,no,no,no
bimbo_cash,Award Winning Wife,,"Strict but very simple. Stubborn but Soft , Uptight but Very generous. Blunt but diplomatic. Prim and proper. Add yours",@Ade_authority Yes she did. She allegedly collected 10M and posted jaruma products just 3 times.  Haha!,no,no,no,no,no,no
stylinspectra,𝐒pectra 𝐕,he/they | nonbinary ,"Spectra ♡ || ur fav ghoul || diary/alt: @thespectrabook

stylinspectra#1065
SpectraMaximoff on RBLX

black 🇯🇲, lover of dolls,

#FREEBRITNEY | steen fanpage",RT @BackupVa: So I’m gonna need all my nonblack moots to not use bimbo from now on..,yes,no,yes,no,no,no
Himbo_Bimbo_Nom,Bimbo 🦄 🔞,Bundled up eating warm soup,Ivin | 18 | Questioning gender?? | They/Them pronouns please! 18+ only. No age in bio = Blocked. Here to make art and make new friends!,@HJacobo119 BUNNY GIRL :OO,no,no,yes,no,no,no
Himbo_Bimbo_Nom,Bimbo 🦄 🔞,Bundled up eating warm soup,Ivin | 18 | Questioning gender?? | They/Them pronouns please! 18+ only. No age in bio = Blocked. Here to make art and make new friends!,"@darling_rini OOOOO 
I have an excuse to draw her yES",no,no,yes,no,no,no
bimbo_bat,erin 🦇,,a little soul carrying around a corpse | @joopyloop 🖤,RT @s0fthunny: wouldn’t survive a jigsaw trap cause i would need him to repeat the instructions like 10 times,no,no,no,no,no,no
WANDAALLALONG,𝙈𝙚𝙡𝙞𝙨𝙨𝙖 𝙏𝙧𝙪𝙙𝙚𝙖𝙪?,Parody Account,𝙄 𝙝𝙖𝙙 𝙨𝙩𝙧𝙞𝙣𝙜𝙨… #DSVerse //: ROLEPLAY ONLY. I AM NOT ANY OF THE MODELS IN THE PICTURES. I HAVE ZERO FINANCIAL GAIN FROM THIS.,"@RUSSlANLEADER &gt; bimbo toy that she’ll use whenever she wants. 

More of the strap goes into her wife, the more rou… https://t.co/rpocI9008I",no,no,no,no,no,no
ACrazyEmpath,BabyGirl,"Enugu, Nigeria",A little mystery is fun. Don Jazzy’s babe.,@bimbo_cash This is sad,no,no,no,no,no,no
SeanByouDons,SeanB,Yorkshire,"Dad of six Champions. Doncaster Dons RLFC. Love the White Rose, Proper music & a couple of beers.💙💛","@Mordacai1980 @Pippa1312 I know you do it to wind me and @leachyHKR up, but you absolute bimbo. COYS.",no,no,no,no,no,no
WinningNonstop,Democracy Defender (ง'̀-'́)ง,USA,"Male ♂️ -Likes: Politics, gym, music, languages Dislikes: Trump Supporters, fast food, ignorance -Yes I voted for the winner, Trumpies can cope",RT @WinningNonstop: Aww you poor victim! How dare people cancel you for breaking into the capitol while trying to overthrow the US into a d…,no,no,no,no,no,no
qt_bimbo,Gxdess Athena,Your Mom’s House,Marxist-Leninist | Doer of Moms | Your Local Cringe Machine | She/Her,Is it a trend now for political streamers to consistently talk about how other political streamers who won’t debate… https://t.co/Dh8dTjydt8,no,yes,no,no,no,no
WinningNonstop,Democracy Defender (ง'̀-'́)ง,USA,"Male ♂️ -Likes: Politics, gym, music, languages Dislikes: Trump Supporters, fast food, ignorance -Yes I voted for the winner, Trumpies can cope",Aww you poor victim! How dare people cancel you for breaking into the capitol while trying to overthrow the US into… https://t.co/4WR4akKuKC,no,no,no,no,no,no
