screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
cloudycascade,-ˏˋ SCOUT 🚀,hypfxed on tf2 and moral orel,random acc where i retweet junk i like | minor,"RT @EggyDaxy: Wiki: ""This character is agender and he uses he him pronouns exclusively""

The fandom: AWWW  😭🥺🥺🥺 my little they them. My gen…",no,no,no,no,no,no
kid_with_tweets,kid ||| CEO OF BREAK BEAT AND HIP HOP,imagine doxxing yourself ,Mexican 16 He Him,"RT @EggyDaxy: Wiki: ""This character is agender and he uses he him pronouns exclusively""

The fandom: AWWW  😭🥺🥺🥺 my little they them. My gen…",yes,no,no,no,no,no
RatMcRoadkill,⚠️ Pigface™ || art trades: open!!,The Sewers,Local alien fucker || Calvin - he/it/they || priv: @LadiesManCal,"RT @EggyDaxy: Wiki: ""This character is agender and he uses he him pronouns exclusively""

The fandom: AWWW  😭🥺🥺🥺 my little they them. My gen…",yes,no,yes,yes,no,no
Myahtu,🌊,she/They ,black&gay,Good night to theydies and gentlethem,no,yes,yes,no,no,no
Giovann72090454,Mr.Gio64,,"14, I draw art ig, mostly from Paper Mario The Origami King (Can't Help With Mods Sorry)
FOLLOW DA BACKUP @gio64ds sick tricks whitty!","RT @EggyDaxy: Wiki: ""This character is agender and he uses he him pronouns exclusively""

The fandom: AWWW  😭🥺🥺🥺 my little they them. My gen…",no,no,no,no,no,no
EggyDaxy,🌈DAXY🆖,HETHEYBOT,Futurama fan. Italian (not by choice) I also draw. pfp by teepiro,"Wiki: ""This character is agender and he uses he him pronouns exclusively""

The fandom: AWWW  😭🥺🥺🥺 my little they th… https://t.co/Wv0OLV02mL",no,no,no,no,no,no
cockycrumpit,cori 🦕,cymru,|| they/he/it/dot || bi || 17 || https://t.co/h0mZxE4FY5 ||,i fuckjbg HATE “gentlethem” and “mtheydies”,yes,no,yes,yes,no,no
GeekDadGamer,Andy Robertson,Exeter,"Freelance Video Game Journalist for @ForbesTech, @BBC and @Guardian. Author of Taming Gaming book.",@Super_Crip1994 Gentlethem?,no,no,no,no,no,no
RainbwLiteBrite,"🍒seancé knowles, giver of momhugs 🌈","she/her, fl transplant","your local glowing goddess bilquis | artist, content creator + community cultivator | bougie boozy witchy hippie 💫 | sapio af | 💌 rainbwlitebrite@gmail.com","the main facets of streamer twitter, ladies, theydies, gentlemen &amp; gentlethem https://t.co/0B7Qwvxxrp",no,yes,no,no,no,no
C0NKASA,rory + ali abdul = love,they/vir/any ♡ roddy ,it’s no coincidence it’s kitty-incidence 🇲🇲,allie my white bf imy my gentlethem,no,no,yes,yes,no,no
JibzCoz,Jibz,Autism Spectrum,"TriestestHardiestesBurntKazoo⁣ | I don't really do Twitter, just here bc why tf not | ⁣ Commissions: 3/3 slots taken | ✨⁣ They/Them | Pig Furry | Minor","Petition to piss in the shoes of anyone who calls Non Binary people the following-

“Theymabs/Theyfabs” “They/Thems… https://t.co/v9LMLcrClv",no,no,yes,no,no,no
punk_towns,🌈 Rowan 🌈,fandom hell,🌈🌲🍂 Rowan || he/him || transmasc nb 🏳️‍⚧️ || lesbian || autistic || artist || carrd byf current main interest is deltarune!! || blm. acab. antifa. 🌈🌲🍂,"RT @maldexs: berdly definitely calls kris a ""gentlethem"" once and kris throws his playstation 5 out the window in response",yes,no,no,no,no,no
twinkjoon,moonbunny priv when sleep,"bun/they, 21, minors dni",🔞 🐨🐱🐰 bangtan stoner agenda | nmkk / nmgi / ot7,"my roommate is always like ""welcome home gentlethem"" whenever i come back to the dorm how do i say in the nicest wa… https://t.co/t7gFgC7qs2",no,no,yes,no,no,no
FireCupONoodles,𝚂𝚝𝚊𝚛 𝙳𝚊𝚛𝚕𝚒𝚗𝚐,ᴛᴏ ɪɴꜰɪɴɪᴛʏ ᴀɴᴅ ʙᴇʏᴏɴᴅ!,ᴍʏ ᴛᴡɪɴᴋʟɪɴɢ ꜱᴛᴀʀ,@pixhangout Gentlethem😭,no,no,no,no,no,no
ZenaAZellers,🌈 ZA Zellers ✒,"Colorado Springs, CO",They/them. Disabled+ND queer squared writer of magical lesfic (forever in progress 😅) 🌈 Black & Trans Lives Matter Always,"I'm working on a new(ish) idea that I've really fallen in love with

🤵 OC shapeshifting creatures (including MC)… https://t.co/yTdAUdmBnt",no,no,yes,no,no,no
iFruitti,doa,,the only L’s i take are LIVE. LAUGH. LOVE 💯🙏🤑,the whole “gentlethem and mythemlady” or whatever the fuck 😭 https://t.co/mWvHk8yR1X,no,no,no,no,no,no
fixedbaroque,Mandy Shunnarah-Reed (she/they) 🇵🇸,"Columbus, OH","Author of Midwest Shreds (forthcoming @belt_publishing) Writer, skater, book blogger. BLM. Free Palestine. #binders #arabtwitter helloAToffthebeatenshelfDOTcom",Hire this extremely talented gentlethem! https://t.co/lo04HCBW7Q,no,no,no,no,no,no
johnwhodat1,johnwhodat,,Making pdx more yt since 2015,"@bicyndicalist @pdxlawgrrrl Travis, such unbecoming language for a refined gentleman like you. Sorry, gentlethem.",no,no,no,no,no,no
ArtyDinoo,Arty | DSMP Artist,He/Him - Minor,🏳️‍🌈🇨🇦Trans Masc/Asexual | Artist and Streamer! | Current Fandoms: DSMP and Deltarune | 💥BLM |,@mAJesticcrying hello sexy gentlethem 😎,yes,no,no,no,no,no
GabrielleTells,shop scoobysnax,,most likely to take the joke too far,Here’s your chances theydies &amp; gentlethem lay it on me https://t.co/z3ESrFPSl5,no,no,no,no,no,no
ImogenPeahen,Imogen ✨🦚✨,North Carolina,"She/Her/They/Them 🖤🔞 BIPOC Lives Matter. Trans Lives Matter. S*x work is work. Cosplay, horror movies, AEW, and more. The Drive-In will never die.",Get you a theybie/gentlethem who can do both. https://t.co/ZGrgcW4E6N,no,yes,yes,no,no,no
hamish_kitty,SAD DISASTER SHOP OWNER,"Illinois, USA","Gabby 26, Ex-Chicagoan. Latinx/Creole 🌱NB: she/him/they no pronoun preference🌱 @frijoliz made the header💕 COMMISSIONS OPEN💕",Good Morning Theydies and Gentlethem- how r these bitches the same bitch https://t.co/LWs0dkuxIR,no,yes,yes,no,no,no
