screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
randombotmadlib,randommadlib,,just a random bot for a random mad lib. don't analyze it too much.,It was a Ill-willie day for Gillard . There is drama in school and his coming out. He finally came out to his class… https://t.co/fUcMvLwsQy,no,no,no,yes,no,no
UpasnaUg,Upasna Bharadwaj 🕉️,India,"Dada ❤️

(  ਜਿਨ ਪ੍ਰੇਮ ਕੀਉਂ ਤਿਨੁ ਹੀ ਪ੍ਰਭ ਪਾਇਓ  )   SEVAK  @maitribodh_india
@ygpt_india @pfaindia











Sevak | RJ | Emcee | Singer | Performer | PR 🎤","RT @ANI: #WATCH | Transgender folk dancer of Jogamma heritage and the first transwoman President of Karnataka Janapada Academy, Matha B Man…",no,no,no,no,no,no
ODoyleRules73,ODoyle Rules,,"Husband, Father, Retired Veteran",RT @ChuckCallesto: BREAKING REPORT: Students in Virginia as young as 12 will be asked specific questions about their sex and dating lives i…,no,no,no,no,no,no
siddharth_sew,Siddhartha,,"Proud To Be Born HINDU. 


                                             
लाखों गद्दारों पे अकेला भारी हूँ  

हाँ हाँ मैं भगवाधारी हूँ  

🙏🙏जय श्री राम🙏🙏","RT @Isoumyas: This image is enough to bust fake narrative of leftist against BJP RSS using sentiments of LGBTQ

Meet Transgender folk dance…",no,no,no,no,no,no
eternallytrave1,Eternallytravelling,,,RT @ContraPoints: Spreading a rumor that there’s going to be a Thomas the Tank Engine reboot with a transgender tank engine just for the pl…,no,no,no,no,no,no
lecho_terra14,Lecho Tee,,20 | lalala~,RT @simkjrs: its so inspiring how venti transitioned to being transgender when he stole the nameless bards identity,no,no,no,no,no,no
jmhamiltonblog,J.M. Hamilton,🇨🇦🇺🇸🏳️‍🌈,Publishing free economic and political thought. Instagram at jm_hamilton_blog    Email at: hamilton.jm1776@yahoo.com,"RT @GuardianUS: ‘It’s not just about being trans’: Always Jane is a moving, intimate portrait of late adolescence https://t.co/fdepQch2JO",no,no,no,no,no,no
ab1master,Yash Agrawal,,,"RT @ANI: #WATCH | Transgender folk dancer of Jogamma heritage and the first transwoman President of Karnataka Janapada Academy, Matha B Man…",no,no,no,no,no,no
84Kol,Prasenjit Mitra🇮🇳,Mumbai,,"RT @ANI: #WATCH | Transgender folk dancer of Jogamma heritage and the first transwoman President of Karnataka Janapada Academy, Matha B Man…",no,no,no,no,no,no
A_intheMntns,A.,,,"@CongressmanHunt @Joeeyfetta @ThePurpleMinx @NBCNews @NBCOUT To be completely honest, I think every human in existe… https://t.co/1wB6SEKTS5",no,no,no,no,no,no
pradeeprawat96,Pradeep Singh Rawat 🇮🇳,"Rajasthan, India","Rajasthani ❤️ 
Indian 🇮🇳","RT @ANI: #WATCH | Transgender folk dancer of Jogamma heritage and the first transwoman President of Karnataka Janapada Academy, Matha B Man…",no,no,no,no,no,no
