screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
ishnocap,🥶,,"CEO OF BLACKDESIGNERFASHION A LIMITED EDITION DESIGNER BRAND NEW UPDATES, CHECK OUT PAGE.",RT @ishnocap: MY FEMALE DESIGNER SNEAKERS AVAILABLE NOW 2 DAYS SHIPPING 📦👟 #linkinbio https://t.co/aqrUdgaiNf #designersneakers #ladies #fo…,no,no,no,no,no,no
Roe_IsArtUnique,Faah Qu,The Capitol Of The Nation,#BeCarefulWithMe 💋,RT @laurp24: I.......This nigga lame for all of this. eww! Ladies stay away from men who do the bare minimum and think like this https://t.…,no,no,no,no,no,no
UNPOLITICALLY4,K,,"Writer, Future Entrepreneur, New #Blogger all #news #entertainment #sports #music #politics #life https://t.co/TUIGRq4Xkn
IG: @inmyownworld_dreamer",I really laugh at every episode of Golden Girls 🤣 These ladies funny as hell,no,no,no,no,no,no
m_folakemi,Folakemi,"Lincoln, NE","Firstly God,",And ladies https://t.co/bT6yETsLrQ,no,no,no,no,no,no
HiramRC2,Hiram RC,,"Ing. Agrónomo 🌱
¡Ve el lado positivo!","RT @SenseiChangs: Ladies and gentlemen, I present you the Cristal Baschet. https://t.co/gYgMisfVqm",no,no,no,no,no,no
simpson5921,Shellys Chic Designs,,"I am an Etsy seller, selling beautiful wreaths for all occasions. https://t.co/D4AnWcuQc7",RT @prettyboutique7: Top-handle Floral Print Shoulder Bags#casualwear #outfit https://t.co/ycAToqxtS9 https://t.co/8dNAmvbqGV,no,no,no,no,no,no
RichFromTO,Rich Coelho,Toronto Ontario Canada,"Youtube : RichSportsDotCa Instagram : YYZLASMIA . More outlets forthcoming. 

Blessed to be Nate's Daddy. 
30 years without missing a single 🐬 🏈 game. #FinsUp",Great fight by both ladies but @JessicaPenne earned that W not only inside the Octagon but in the last four years f… https://t.co/2xxgSw67c2,no,no,no,no,no,no
l3tici4rp,sʇə| 🌙,na dele,insta: l3tici4rp 😫 || @froeszd @gabisvalent,RT @miiaeveliina_: ladies and gentlemen: him. https://t.co/9cNbh8EaT5,no,no,no,no,no,no
amiclaire_,i guess i’m Claire?,Valley of Red Flags,I might just delete this account later... but take 3. #FuckCancer #mentalhealthmatters This is a BTS stan account.,The ladies of the Cowbell Cartel are superior 🔥🔥🔥🔥 https://t.co/VyFWUoEKST,no,no,no,no,no,no
that_IcyClitten,Doja’s Icy Kitty ❄️,,"clinical laboratory scientist 🥼 🧪 PUSSY PRETTY SO I CALL MY CAT, DOJA 🇬🇾 🇻🇪",Goodnight ladies and germs https://t.co/ToTYIFQvbt,no,no,no,no,no,no
