screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
drain4eva,Kappa,he | pfp by @graskip,I don’t know a good bio,@bartoninthebean Jacob is my non-binary pal. They’re such a theybie,yes,no,no,no,no,no
bartoninthebean,Jacob,they/them,"░░░░▄▄▄▄▀▀▀▀▀▀▀▀▄▄▄▄▄▄
░░░░█░░░░▒▒▒▒▒▒▒▒▒▒▒▒░░▀▀▄
░░░█░░░▒▒▒▒▒▒░░░░░░░░▒▒▒░░█
░░█░░░░░░▄██▀▄▄░░░░░▄▄▄░░░█
░▀▒▄▄▄▒░█▀▀▀▀▄▄█░░░██▄▄█░░░█
█▒█▒▄░▀▄▄▄▀░░░░░░░░█░░░▒▒","if someone calls me a ""non-binary pal"" or a ""theybie"" i will throw them at a hornet nest",no,no,yes,no,no,no
Awkotacofreshie,Loooooove Marie,,💀🐇☠️👻(They//HIM) Actress. Artist. Activist. Just a bro Freaky Friday trapped in an insta wannabe 💓✌🏾Witch Bitch ✨🌹🌜💫 || Venmo: @nonbinarynerd45,@jackieaina $NonbinaryNerd45 NAIRA!!! Help a little theybie pay their rent NAIRA!! Pls 💗,no,no,yes,no,no,no
iKillRee,im normal thanks,lin made my carrd im useless,keith and sai do not talk to me,@rekirv exactly! how are you a theybie of you dont use they/them...,no,no,no,no,no,no
CatchThisLOVE,Thisis25,"Detroit, MI",ALIVE IN BLACK DETROIT ✊🏽 CULTURAL WORKER 🌍#BLACKFUTURIST 🤩 THEY TELL ME I’M FREEDOM 🇭🇹,RT @CatchThisLOVE: Still looking to go half on a baby and a liberation center with someone’s son or daughter or theybie.,no,no,yes,no,no,no
jooaretheone,𝑘𝑖𝑡 ☕︎ ATSD 📌,𝐦𝐮𝐥𝐭𝐢 !,ʕ •ᴥ•ʔ 𝙠𝙥𝙤𝙥 𝙨𝙝𝙞𝙩𝙥𝙤𝙨𝙩𝙞𝙣𝙜 𝙖𝙣𝙙 𝙬𝙝𝙖𝙩𝙚𝙫𝙚𝙧 (𝙩𝙝𝙚𝙮/𝙩𝙝𝙚𝙢),@httpallisonnn @hard_jewelry can we make a hard theybie gc 😫‼️,no,no,no,no,no,no
httpallisonnn,𝔞𝔩𝔩𝔦𝔰𝔬𝔫 𝔦𝔰 𝔤𝔞𝔶 🧼,they/them 🏳️‍🌈,everyone’s favorite case | ♊︎ | teen romance🤍,@hard_jewelry hard theybie summer ‘21,no,no,yes,no,no,no
LongnoseGarfish,"Cindi Mayweather, the Electric Lady",Swag,{*_*}(^•^)[•_•](^•^){*_*},@VioletYea called me a theybie today,no,no,no,no,no,no
WangxianBond,isis 🌸,she/they | 30 | nsfw 🔞,"ceo of the bichenfucker club • incense burner stan • part time writer and artist, full time clown • mxtx hell • wangxian bingqiu and hualian • eng/esp",@DorianDarkstar My lovely theybie 🥰 we gonna look like such a cool duo when we go to forks,no,yes,yes,no,no,no
navisLilpog,melanie,🦝 ,IPHONE GANFGGGG 😭😭😭,i love my theybie 🖤🥀,no,no,no,no,no,no
Bi_Calendar,Bisexual Community,Multinational,🌏 international tumblr group 🇭🇹 🇭🇰 🇨🇺 🇸🇬 ... 🇺🇳 posting/retweeting By & For ALL #Bisexual+ #Queer #SGL & #Nonmonosexual #MGA Community(s) everywhere 💗💜💙,RT @aidens_cove: @cum_binary so tired of people getting mad when i say i’m non-binary bc im not the white frog loving androgynous theybie i…,no,no,no,no,no,no
ProximalPraxis,a material girl,,immaterial world,"@bimboubermensch The idea that Bowie and Prince, sexy slim dudes who present with feminine aesthetic affectations,… https://t.co/hm2eNYhU5o",no,no,no,no,no,no
Mobango94,Phil,"New Jersey, USA",Spring Break Forever Bitches,@flowershark @irishflwr84 @Jesibary @govkristinoem Oh you’re an NPR theybie.. yikes,no,no,no,no,no,no
thorisotlapuu,Thor ☥,Jhb,"a soft perpetual thing.a GAY. she/her. a storyteller🎬
                                                   
°IG:https://t.co/zFzPZXV7eh","week 15 revelation:
thing about healthy relationships is that you need to actually want them and remember you deser… https://t.co/AUqRsalASO",no,yes,no,no,no,no
BUCKYSHlELD,skye loves sam wilson, they/them | 16 | carrd byf,#PERCABETH: We're staying together. You're not getting away from me. Never again.,I JUST SAW SOMEONE CALL SOMEONE A THEYBIE WHAT THE,no,no,yes,no,no,no
F1amingoman,🅱️rick,,vibin he/him,@cloudylauren_ showstopper talented theybie in the making,yes,no,no,no,no,no
