screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
UteriYear,UteriYearRound,,gender abolitionist female marxfem. autistic. ML-Third worldist. bihet.,@shifter_cat @MargaretTubero2 @emrazz @DieMadTerf My bf literally used to be a transwoman.,no,no,no,no,no,no
Sh8zia,Shah Zia - Super Straight!,,,"RT @SHFan1985: Oh look👇 so A Transwoman deciding to use their 'Dead' Name ie. Male/Man Name is still acceptable (to avoid Misogyny, Sexism…",no,no,no,no,no,no
SereliaJoy,Seri 🏳️‍⚧️ 🍵,She/Her,Social @Upcomer | VR Enthusiast and Educator | Aggressively Queer 🏳️‍🌈 & Polyam | Indigenous & Latina | I Stream Occasionally 🍵,"Just another daily life of a transwoman 🙃 

either its the right wingers saying they outright want me dead or the c… https://t.co/B7NODkCfsZ",no,yes,no,no,no,no
WitchKraft3,WitchKraft,,Warts and all.  Pronouns: Mister/Misty,"@traci_monroe @schnookiekins @chasestrangio This isn’t true, and could harm a transwoman’s health.",no,no,no,no,no,no
zzzotak,frogy,home wrecker,vassectivist :-),"RT @222xen: tw//transphobia and abuse

this has been dead pls revive this back again im an asian transwoman living in a severely transphobi…",no,no,no,no,no,no
sinemetuvivere,Rajiv Prinja,,,"RT @QueerNaari: The kind of story that inspires everyone
The story of India's first Transwoman photo Journalist Zoya Lobo. 
https://t.co/7Y…",no,no,no,no,no,no
momoegirlkisser,艾婷｜Aiting,vio/she/it,i believe in switch supremacy,"RT @222xen: tw//transphobia and abuse

this has been dead pls revive this back again im an asian transwoman living in a severely transphobi…",no,yes,no,yes,no,no
Dergnherd,dergnherd toy maker,"moving to pittsburgh, PA","rock climbing, snowboarding, and motocross are my life
31 yo married male open relationship mostly straight 18+ mursuit content incoming
broken army veteran",@krystalwolfy As a transwoman myself this is ridiculous this hurts cis women.  Male at birth are just built better… https://t.co/AkdTGj6wDn,no,no,no,no,no,no
therealmontyb,Montgomery Brewster,"Hackensack, NJ","I identify as a 1980s British comedy and my pronouns are Hi, De and Hi.

#istandwithgina #CancelDisneyPlus

Politics? #NONEOFTHEABOVE","@TransRedPanda @bcou2589 @BoticRowena You see another example of what you do, always conflating one thing with anot… https://t.co/l9Um3daNtd",no,no,no,no,no,no
eigenvectrix,anne of golden gaybles,Meanjin (stolen Turrbal land),26. Black and Blak lives matter. Trans rights are human rights. #80aDay #LandBack,"Waiting for the liberals to coin a slur which combines the energy of ""a transgender,"" ""transgendered,"" and ""transwo… https://t.co/s4O2O3fvZL",no,no,no,no,no,no
tootheatur,toro👖,she/they,"Instagram- t0r.o, toothgarden","RT @222xen: tw//transphobia and abuse

this has been dead pls revive this back again im an asian transwoman living in a severely transphobi…",no,yes,yes,no,no,no
petalsies,#e,,٩(๑❛ᴗ❛๑)۶,"RT @222xen: tw//transphobia and abuse

this has been dead pls revive this back again im an asian transwoman living in a severely transphobi…",no,no,no,no,no,no
laylaalizama,angela jolly,,sc: laylalizama (trans) https://t.co/MAzm3WHIZf,men will compliment tf out of a transwoman they find attractive till they find out she’s actually trans.. then it’s… https://t.co/0f5E9coHQn,no,no,no,no,no,no
REYthequeen_,Rey,"Tacoma, WA",,@queensbihh Transwoman here and same!!!,no,no,no,no,no,no
merovingians,a nosy archaeologist (You Can't Reform This),"York, our Green & Septic isle","Ross. US expat. PhD. medieval archaeology, pilgrimage, sacred landscapes and saints' cults in the Anglo-Norman world. arch lover. 🧦ish. Pass the VRA. He/him.","@vanillaopinions @beneprism i know of at least one transwoman here who is moving to the US, that's how bad it's getting",yes,no,no,no,no,no
TheErickaPage,Ericka T. Page,"Los Angeles, CA","Just another earthling... #Discovering #Learning, #Loving, #Creating... New joints and jams coming spring 2021 🌈✨","So happy about spring weather 🌻🌸
.
.
#spring #croptop #GirlsLikeUs 
#transgender #TransgenderGirl #Transgirl… https://t.co/aefs02oAVE",no,no,no,no,no,no
strystyl,Ash,Honestly prolly lost somewhere,"(They/Them) Photos, videos and words. Youtube below 👇🏽👇🏽👇🏽","RT @222xen: tw//transphobia and abuse

this has been dead pls revive this back again im an asian transwoman living in a severely transphobi…",no,no,yes,no,no,no
Nineteen8OFour,Claudia,,Eeny/Meeny/Miny/Moe,"RT @Asaistweeting: ""I know lots of lesbians who would date a transwoman!""

Bro they're lying to your face to be nice 🤦🏼‍♀️

""I know what it…",no,no,no,no,no,no
Raddy_Aphrodite,...Serena ♀️,,Woman. Daughter. Sister. Auntie. Witch. Dancer. Enchantress. Creatrix. Radfem. Gender Critical. Follower of the Neolithic Goddess culture.,@Julephenia @CharlotteB1 @LeahJaclyn @emrazz Explain it then. What makes a transwomen trans? What makes a transwoma… https://t.co/KTbnwSjtMI,no,no,no,no,no,no
