screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
bluduxe,blu(look at pinned),they/them,twitch affiliate • 16 • layout by @binchburger  #duxetwt madiduxe@gmail.com (cant change email sadge) https://t.co/Vz8PkVpcWG,i love the mcyt stan community but i just KNOW that they would call me a theybie and id rather be called a slur/hj https://t.co/NqlEwYD3AM,no,no,yes,no,no,no
_a__s_t,ast | 📌 another ranboo piece pinned,🇵🇭 | she/they,"“Where ignorance is bliss, ‘tis folly to be wise.” | 15 | art can be used in edits, pfps, etc. with credit | Do not repost art w/o credit | bootwt + ocs artist","@yachiniiku “UwU my little theybie 🥺🥺🥺”

I felt myself recoil typing that im so sorry",no,yes,yes,no,no,no
ChaiCiLatte,Ci (Ciaran/Cierra),"Springfield, IL","They/Them | Pansexual, Polyam, Genderfluid, & Trans | Future Educator | Disabled | Café Enthusiast | Witch | Activist | 💕 @acer3752 😘",@MxPlumbee also i feel very validated that I'm not the only disabled theybie that doesn't lean back in my chair,no,no,yes,no,no,no
finnnottaken,finn's buffity era ★ 👨‍🍳,he/him/fae/faer + nd + minor,"#CORPSE: If you don't speedrun life, life will speedrun you // in most mcyttwts + corpsetwt + syktwt","@o7swt the fact that im asexual LMAO
""guys dont make any sex jokes!! fae doesnt like it hes asexual remember my swe… https://t.co/phsRDPtU7h",yes,no,no,no,no,no
boltzothedragon,🅱️omrade 🅱️og -BLM,Where the fuck am I?,"He/Him
I try to post art, but I'm usually too busy fucking around to get some good art done.
ADHD's a bitch sometimes.","@JessJackdaw What's ""theybie""?",yes,no,no,no,no,no
JessJackdaw,JessJackdaw,,"Hey, I'm Jess (He/Him) and I do arts and stuff!
https://t.co/Nib3DYLxVc
https://t.co/IE8yX7A2LN",My bestie theybie Logan (aka Locat from streams) is doing tarot readings! You should check 'em out sometime! ✨ https://t.co/MPXsDTqryS,yes,no,no,no,no,no
drain4eva,Kappa,he | 🇸🇦🇺🇸,I don’t know a good bio,@bartoninthebean Jacob is my non-binary pal. They’re such a theybie,yes,no,no,no,no,no
Awkotacofreshie,Loooooove Marie,,💀🐇☠️👻(They//HIM) Actress. Artist. Activist. Just a bro Freaky Friday trapped in an insta wannabe 💓✌🏾Witch Bitch ✨🌹🌜💫 || Venmo: @nonbinarynerd45,@jackieaina $NonbinaryNerd45 NAIRA!!! Help a little theybie pay their rent NAIRA!! Pls 💗,no,no,yes,no,no,no
iKillRee,Stupid Fucking Enstarrie,lin made my carrd im useless,KEITH AND SAI JUST BROKE INTOM Y HOUSE OH MY GOD,@rekirv exactly! how are you a theybie of you dont use they/them...,no,no,no,no,no,no
CatchThisLOVE,Thisis25,"Detroit, MI",ALIVE IN BLACK DETROIT ✊🏽 CULTURAL WORKER 🌍#BLACKFUTURIST 🤩 THEY TELL ME I’M FREEDOM 🇭🇹,RT @CatchThisLOVE: Still looking to go half on a baby and a liberation center with someone’s son or daughter or theybie.,no,no,yes,no,no,no
