screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
gumdropkijima,belen🏮(nsfr) cr: tgcf,"BL/GL, anime, loona, bts (19)",🇲🇽(they/them)• wangxian/hualian lovebot• nsfw•,"in the moriarty the patriot, is bond a transman??? I haven’t read the manga so im not really sure",no,no,yes,no,no,no
B4STARDC0RE,Ash’s Demon,Ash ❤️,I wanna be with you @moonscapewhore,"RT @lucidbaker: Connor
• 17
• He/Him (Transman) 
• Single
• Bisexual
• Switch (Dom++)
• Some TW’s
• Some NSFW
• no weird fonts
↺ to be moot…",no,no,no,no,no,no
hylianocto,HylianOcto,,I’m Octo. I’m a dumb nonbinary trans guy who just really likes LoZ and Splatoon lmao. 24. He/They ✨I’m ND✨mostly active on Instagram: @ hylianocto,@dark_veemo Absolutely! Im a nonbinary transman myself who uses he/they pronouns! Welcome to the nonbinary club friend!! 😊,yes,no,yes,no,no,no
PinkishPigeon,PinkishPigeon,,"he/him, this is the bisexual disaster zone","@TheRudim3nt @SpeedyJR @hankgreen I mean sure, but like... As a bi transman I'll write some characters that are tra… https://t.co/oI98ARyqUA",yes,no,no,no,no,no
pizza4justice,H Kapp-Klote,Chicago,The Fuck Does This Make Money? / Writing for Organizers / Working 2050: a speculative oral history /,niche transman tailoring burns are the MEANEST Lightfoot burns,no,no,no,no,no,no
taebr4tz,ًami ☪︎ dms broken,Cbyf ! slow dms ,Sza Hand Holder. . .She!They(pronouny)🩹 🎀,is a transman straight or lesbian — straight a trans man is a man https://t.co/fTU9Fwiplf,no,yes,yes,no,no,no
emocionycambio,Raquel Fdez-Veiga,Barcelona,"#NoPrestoÚtero  #Victima➕ #Metoo  #WomenChildrenRights #Feminista  Educadora, Madre, Creadora y sobre todo, Conspiradora Vital. #emocionycambio","RT @ScottNewgent: Be strong Mama Bears

LatestTReVoices Interview

“Say it loud, say it proud, &amp; most importantly say it without reservatio…",no,no,no,no,no,no
KittyAstolfo,òwó,Read Carrd before following,17 (9|9) | Icon: @18Ar0 | Certified Noelle Simp | She/They/Nya | Carrd update (12.04.21): Carrd,"RT @thetransmuslim: tw: gov’t persecution, transphobia
an ex muslim transgender man living in a transphobic muslim country needs our help…",no,yes,yes,no,no,no
LoupyLeu,Lupin the Furred,J-ville Florida,"Fanboy, aspiring forensic psych, pun master extraordinaire, and miscellaneous heathen",@nadine_feiler @Betsyrose23 @LillyMy3 @AmyKurth4 @jowendes @Little_Raven89 @emrazz So you do realize that transmen… https://t.co/AszJS7ySCW,no,no,no,no,no,no
Mewmewjusticef1,Mewmew#JusticeForJohnnyDepp#Justice4JenHowell,,"I'm here to support Johnny Depp, DV Victims and Survivors.
My favourite movies: The first time I saw JD POTC1. and Charlie and the Chocolate Factory.","RT @HumanPhoenix8: REPORT THIS TRANSPHOBIC MAN!
Watch the pinned video of @MenCouragePH and this awful man commented this:

TRANSMAN ARE MA…",no,no,no,no,no,no
