screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
ridIoffdillane,ً,august ♡ 🌱 read carrd byf !,"pepper, rhodey and tony's daughter (REAL)","LADIES AND GENTLEMEN, STEVEN YEUN #Oscars https://t.co/76EtIH1srt",,,,,,
THANASIGOUNARIS,THANASIS  GOUNARIS,Ελλάς,Board member Pirate Party•Spokesperson The Greens•Radio producer•Διοικούσα Επιτροπή Πειρατές•Πολιτική Γραμματεία Πράσινοι & Συνεκπρόσωπος•Ραδ. Παραγωγός ΕΡΤopen,"Ladies and gentlemen the internet ""Rain Radio"" broadcasts 24/h ""lo-fi hip hop-chillhop"" music for reading, relaxing… https://t.co/wnqcEzYAP8",,,,,,
ObserverDistant,Distant Observer👀⭕️,,"Child Of God| Observing Humans| Positivity Mindset| A fan of Ozoemena Joseph Chukwu, Superi⭕️n ⭕️🍎|","RT @Tetelo40051997: We trended #RewindWithOzo and today we trend #KOFShow and that ladies and gentlemen is called loyalty 
#KOFShow 
OZO AN…",,,,,,
boldandbeautfl,Del,Heaven,a powerhouse in the making.,RT @missLuluSimmons: I love gentlemen. Men with structure. Men who are secure and confident. Men who are healed. Men who are gentle. One wh…,,,,,,
natashaaibr,ash,,,"RT @flwrsxB: Ladies and gentlemen, this is why we need younger politicians.",,,,,,
DanEngler,Dan Engler,"West Seattle, WA.",Pixels. Podcasts. Coffee. Cocktails.,"Ladies and gentlemen, it's down to the wire! WILL Dan be fully vaccinated BEFORE the ten-year-old prescription on h… https://t.co/f837HB2Bu4",,,,,,
JalinaRay,Al.te,Россия,ELF 💙,"RT @siwocean: ladies, gentlemen and theys I present to you, choi siwon 😎 
https://t.co/1GxefP5dcy",,,,,,
rowenaaitken,Rowena Aitken | Illustrator,"Edinburgh, Scotland","Children's Book Illustrator for hire | Photoshop lover | Coffee addict | Cat botherer | ☕ https://t.co/5BPAlCuII7

e:rowena@rowenaaitken.com",Ladies &amp; gentlemen - the apex predator of the flat. https://t.co/H1doHesKWI,,,,,,
comme1choppa,🥷🏼🖤 †,Harlem,,RT @KylieJenner: ladies and gentlemen.. her. https://t.co/aoTMar9vI5,,,,,,
1967Snow,Ms Snow,,"Raunchy sense of humour. Times person of the year 2006. 🛑 No DM’s, Will block. Conservative. Not looking for a man/hook up. 🛑🛑🛑🛑🛑🛑",Gentlemen https://t.co/j5SwBTGEZs,,,,,,
bishopgraysn,mari s&b spoilers,cheetoband ,wanda maximoff and taylor swift enthusiast || @roharagorn ♡,RT @xmenfiIms: ladies and gentlemen... HER #catra #SheraandthePrincessesofPower https://t.co/h9BQ1Sc8QU,,,,,,
iVeldoraTempest,Younes (Judal),Rimuru,Veldora's twitter account,"""Remember,speed and aggression gentlemen.""",,,,,,
sophsdz,Sooo,ela/dela; she/her ,"amante de música, filmes, sol, lua, piqueniques (e tulipas)","RT @beeyri: ladies and gentlemen, her https://t.co/0UKDfF7KOa",,,,,,
Pheranmhee1,Feranmzz ❤💞,"Jos, Nigeria","I'm here to learn✍️, to see things from others perspective, for the laugh😂 and of course the violence 💥🔥⚔️
man u🛑, Christian,  biologist 📕📚, introvert.","RT @oku_yungx: Gentlemen, tag a lady here to send you 5k only for lunch. 

Nigerian ladies are the richest i know.",,,,,,
brownsnake69,Brown Snake - Voted nicest guy on here,,I like nothing,@fIatcat65 @kevinbrennan666 All gentlemen have at least one divorce under their belt,,,,,,
bynppp,บู้บี้มัมหมีตะยิซ LS1,𝗕𝗣⁴ 𝗪𝗡𝗢 𝗦𝗩𝗧,#ลลิษา #ลิซ่า #LALISA #LISA #리사 I LISA YOU💜💛 🖤JJRL 💗,"RT @EGIRLICE: ladies and gentlemen, her https://t.co/tWWFlNwVc6",,,,,,
wannasalad,"Aloy • My little squishy-My love, Lili","BH, Brazil","Andressa • port-BR/eng • Politics, BBB and women in media • Lesbian 🏳️‍🌈 • she/her/ ela/dela • Chaelisa 🌹🐱🌈 • Lisa and Rosé utt","RT @EGIRLICE: ladies and gentlemen, her https://t.co/tWWFlNwVc6",,,,,,
EGuillanic,5️⃣,,,RT @badestoutfit: ladies and gentlemen her https://t.co/lSdOZGHm8y,,,,,,
kelhannasch,kellyhannasch,"Fort Worth, TX",Golf aficionado!! Love St. Andrews London traveling to Europe and Beatles /60’s 70’s music Back the blue 🙏 God Bless all vets MAGA Trump 2020,@2Sly4i2 The only sport that I will watch at this point in my life is the game of gentlemen another way to say it G… https://t.co/2tVSIqzk1j,,,,,,
meganalien_lee,𝔅𝔲𝔷𝔷𝔅𝔲𝔷𝔷,,🧊🥶Tooth gem technician insta:@babyy.gems @bbmeggss,RT @missLuluSimmons: I love gentlemen. Men with structure. Men who are secure and confident. Men who are healed. Men who are gentle. One wh…,,,,,,
rjurek,Richard Jurek,Northwest Indiana ,"Author, The Ultimate Engineer: The Remarkable Life of NASA’s Visionary Leader George M Low (2019); co-author, Marketing The Moon (2014)","RT @Thom_astro: Ladies and gentlemen, your awesome flight crew, @Astro_Megan and @astro_kimbrough ! They are very good spacecraft drivers ;…",,,,,,
brittanymckay7,Britt,,,I want to win an Oscar just for the sole reason of having @ChrisEvans help me onto the stage like the gentlemen he is,,,,,,
lthlalisa,::,LS1,,"RT @EGIRLICE: ladies and gentlemen, her https://t.co/tWWFlNwVc6",,,,,,
CORTEZ_HSP,THE LOST LOSO!!!,"Brooklyn, NY",For Booking Info: CortezPolitics@GMail.com 📌 #CortezResolutions Album 👇🏽👇🏽,"RT @BluTiger7: After all the jokes and comments I've made, I had to look in the mirror today and realize I need to put some respect on @COR…",,,,,,
