screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
hellyeahbbucky,HYBB 🏳️‍🌈,Discord ,"fanfic fanart recs: bottom!Bucky🍑  bucky/multi shipping | groupchat is on discord, see pinned! | tumblr: hellyeahbottombucky | 🍭banner + icon by: koriandr_art",RT @Lilojo7: himbo steve and the very aloof yet super turned on bucky,,,,,,
Ikethecat10,"Jessica Byrd, M.F.A.","Washington Heights, Manhattan","Reader, costume nerd, cat maintenance staff, skilled in knife work and candy making. Retweet implies amusement. she/her #blacklivesmatter","@emmabo I was looking for a cat, but had no luck after 4-5 stops.  The last place I went had this chill himbo nappi… https://t.co/FB8ipLJk14",,,,,,
jxnjis,mira,,Mira. 23. she/her. 💙 己龍 💙コドモドラゴン 💙 Royz 💙 BabyKingdom 💙,After thinking of the majority of the anime men i loved over the years I’ve come to the conclusion that I’ve always… https://t.co/yicK1IvQpI,,,,,,
Lycandros,Peers from the Abyss,,"Unknown Sample
They/Them","RT @breadwitchery: let's do a lil gettin' ready with me stream before playing more of our disco elysium himbo run!! after all, our characte…",,,,,,
ECT0SKELETON,m🧛🏼‍♀️,they / them,BLOOD !! MONEY !!,@sse0jin SHUT THE FUCK UP ITS NOT HIS FAULT HE HAS A BUTT CHIN GOD I MISS THIS AKIRA SM ID DO ANYTHING TO HAVE JOCK… https://t.co/2iBl04SMXT,,,,,,
KogeBeolfsky,Kogebeef 🐻,Nor Cal,Just your not so average NorCal Beolfsky who likes to rant and post stuff. Content may be NSFW. 18+ only please!,@SneeringBlazeQ You should drop being filthy hunter and change to being a warlock is bestest.... that and we can't… https://t.co/dbYNFOFxx5,,,,,,
afrizox,.,,"take it, Ella, swing it // 24",RT @phqntomthrd: we’re finally getting sexy james marsden prince edward himbo back everyone cheered https://t.co/ue7IPKP5rw,,,,,,
lovewitchs,ʚ anna ɞ,she/her,20 ✿ camie ✿ films + magical girls,"RT @wistvia: me: i hate cliches

author: the lesbian and the himbo are best friends

me: *sobbing* the lesbian and the himbo are best frien…",,,,,,
TessFowler,Tess Fowler,,"Artist By Blood and Trade, maker of comics, painter of fantastical things. (she/her/any) tessfowler7@gmail.com Married to @bullyart07 💚",This is @bullyart07 explaining to me how him and Hopper would fight Lily Allen's ex because he looks like an imperi… https://t.co/W4jcil07Cy,,,,,,
himbo_anonymous,Himberly Anonymous,My Mind,| He/Him | 24 | Pisces | Here to ask questions nobody asked for |,My Capricorn rising is WORKING this weekend? What was in the air?,,,,,,
sheIIhead,luke ☭,uk - 17 - art/main,ant man (2015) — they/them,thor odinson i love u so much my big dumb himbo,,,,,,
cestsynthia,Synth,A deep deep deep deep hole,augie 23’ // ΧΩΓ // 🇲🇽🇮🇪// ♐️☀️// She/They // acab // yes i do miss yang // sticks and stones may break my bones but Kelso nailed your sister.,"RT @wistvia: me: i hate cliches

author: the lesbian and the himbo are best friends

me: *sobbing* the lesbian and the himbo are best frien…",,,,,,
antinnous,STREAM HIS ON VIKI,,"ive found the missing star, its you. you are the star that fell to me 🍥24. all pronouns. 🏳️‍🌈 eng-spa",@sitticock yes! warm hearted intimidating with both himbo intelligence and a headstrong moral compass,,,,,,
