screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
ObserverDistant,Distant Observer👀⭕️,,"Child Of God| Observing Humans| Positivity Mindset| A fan of Ozoemena Joseph Chukwu, Superi⭕️n ⭕️🍎|","RT @Tetelo40051997: We trended #RewindWithOzo and today we trend #KOFShow and that ladies and gentlemen is called loyalty 
#KOFShow 
OZO AN…",,,,,,
TfwNoClout,Toby,Evil's Theater,| Tobias | 19  | ♂️ | Black/Indian | Surprisingly Gay | Personal account | Don't Troll Me Online | @art_tfw Sketch Dump |,"RT @LapisLunaris: I love big muscly ladies as much as the next person, but every single time you see them in tv or movies they are in the a…",,,,,,
natashaaibr,ash,,,"RT @flwrsxB: Ladies and gentlemen, this is why we need younger politicians.",,,,,,
natlinova,Natasha,,"We sell high quality products, 100% good feedback.","Check out what I found. DKNY Ladies knickers Thong/STRING UK/US- XL, CA/MX-TG, EU/JP-80 BNWT RRP$12 P https://t.co/m3y2EzC9ox via @eBay_UK",,,,,,
Bananamarkets1,Bananamarkets,,,#Catch the best products SANTUZZA Silver Earrings For Women 925 Sterling Silver Face Earrings ladies Party Fashion… https://t.co/SEYcAAFQ4y,,,,,,
Biggious_virgin,Biggiz😎😈,journey to the WEST,"make Dem tell you?😆🤦🏾‍♂️🔥
u for laugh oo no one gone make u happy 😝",RT @tv3_ghana: Virgin Kobby to the ladies after putting both rushes off 😂🤭 #DateRush https://t.co/dB2kwOOjeS,,,,,,
artdecoyw,⛓,in hell,BLM | she/her ☾,RT @pixyIuvr: ladies stop self doubting urself and remember how sexy you are,,,,,,
BISEXlEST,klavier ☽☾,they/them + pronouny ,#ME: baby girl you are yucky disgusting,"RT @LapisLunaris: I love big muscly ladies as much as the next person, but every single time you see them in tv or movies they are in the a…",,,,,,
DanEngler,Dan Engler,"West Seattle, WA.",Pixels. Podcasts. Coffee. Cocktails.,"Ladies and gentlemen, it's down to the wire! WILL Dan be fully vaccinated BEFORE the ten-year-old prescription on h… https://t.co/f837HB2Bu4",,,,,,
MiaDenae_,Mia the mini pony 🐎😂,"California, USA","UCLA ‘21  #BLM #BlackGirlMagic👑✨😘 ""I will not have my life narrowed down. I will not bow down to somebody else's whim or to someone else's ignorance.""",RT @roselazio: Ladies in Berkeley please be careful they are snatching people up ! My friend nearly got dragged away yesterday by two woman…,,,,,,
JalinaRay,Al.te,Россия,ELF 💙,"RT @siwocean: ladies, gentlemen and theys I present to you, choi siwon 😎 
https://t.co/1GxefP5dcy",,,,,,
goth_jimin,🌟holly¹³ ia,cw: hxh,animanga & pjm fan | ♀ | hun/eng/de | 18+,RT @pixyIuvr: ladies stop self doubting urself and remember how sexy you are,,,,,,
RodriBees,✿Alexis✿,,"alexis
26
brown latine from argentina
n-b (he/him)
blm/acab

👩‍❤️‍💋‍👩@hoodieHER0 the kuromi to my melody👩‍❤️‍💋‍👩

Art acc is @gothducky","RT @LapisLunaris: I love big muscly ladies as much as the next person, but every single time you see them in tv or movies they are in the a…",,,,,,
___koketso___,Ke Ngwana mmao,,Manchester City fan💙,"Ladies, sometimes when you're crying you gotta ask yourself..... Am I dating a boy or an onion??!",,,,,,
ohsodineo,#R28,"England, United Kingdom",📍London | AMAPIANO DJ | Bookings Djneo@room28.co.uk 📩 YouTube Channel Link 👇🏽,"JOIN US TOMORROW 🎧🎹 

 “Amapiano with the Ladies of ROOM 28 #R28” with @Mixolis, Gugu Kay, @NalaMiimii98, @_oluhle_… https://t.co/Wpk7Of8DBA",,,,,,
goldendesesert,OGSHONSHON,,💰💰💰💰😦 21+,I don't want these ladies fighting over me .. I like what I like though so ....,,,,,,
ShadowMark3_,ShadowMark3 (BLM),"Toledo, OH","🔞 22 He/him BLM

I'm a horny mf. don't like/not over 18? get the fuck out.

Cover: @Mimic_txr 
PFP: @AguilarBrayan7","RT @LapisLunaris: I love big muscly ladies as much as the next person, but every single time you see them in tv or movies they are in the a…",,,,,,
