screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
notTOMBRAIDER_2,resurrected !,Tragic kingdom,,Me + the sexiest thembo I’ve ever seen https://t.co/z2lhYe5q5s,,,,,,
HgBiscuits,🍂Mercury🍂,,I draw once a month | 19 | they/them,RT @itsmerhi: When I was younger I tried really hard to seem smart but now I'm realizing that inside I've just been a thembo this whole time,,,,,,
thembo_gnosis,miss HD,,ella/ elle,RT @thot_piece: here's what the government won't tell you: https://t.co/fQp38qkCVh,,,,,,
SurfingNight,NIGHT Surfing,,"Members Followed! 
🥉Minnow Cup RM S1
🥇Beta Bracket LI March
🥇Minnow Cup TC S2
🥇 Alpha Bracket LI Alpha","Sets in Top Cut:
3-1 Thembo IHOP 
3-1 Spirit Inkorporated
3-0 Geek Squids
3-1 UCSD Esports
4-1 Citrus",,,,,,
Apex_Thembo,Pretty Boy (Derogatory) 🗡,He/they ,"22, black lives matter, drink water, honor yourself, don’t be shitty. thanks.",uh oh gamers! https://t.co/crPjphv8P8,,,,,,
Apex_Thembo,Pretty Boy (Derogatory) 🗡,He/they ,"22, black lives matter, drink water, honor yourself, don’t be shitty. thanks.","RT @wildqe: i think everyone should read this,, https://t.co/mSp30Ryx57",,,,,,
FatT_Ships,Good Friend Ships,Horny Ordenna,"Your favourite #FriendsAtTheTable shipping thirst bot by @Tim_H. Avatar by @imperialhare, banner by @Suedeuxnim, used with permission.",Thembo has feelings for AuDy and Lazer Ted,,,,,,
_INKVXID_,"🖤💜💀 A bitch, a bro, a nonbinary hoe 💀💜🖤",,Alex ✖ Enby ✖ They/them ✖ Queerdo ✖ 22 ✖ Pro-fiction ✖ Degenerate disaster ✖ Neuroatypical ✖ (N)SFW (f)art: #INKVXIDart ✖ I ♡ LIS/OW/NITW/GVH ✖ Read 📌 byf ✖ 🔞,"I don't want to be a himbo, a bimbo, or a thembo, I wanna be a Skyrimbo",,,,,,
Siobhanlinnane,Siobhán Linnane🕸🕷,They/them,IG: @SiobhanLinnane stream my music beeyotch ☆♪ Booking/inquires: Groovechildrecords@gmail.com @groovechildrec,"Served full thembo today, &amp; got a tan, dont u just love that 4 me",,,,,,
thembo_hours,your local them🅱️o,,"23 y.o. enby.
Your average NSFW side-account 😔 🔞","@elliskortenaer 1) Oh wow, it really is!!!
2) Fischl bow..... Fishbowl.....",,,,,,
thembo_gnosis,miss HD,,ella/ elle,"RT @jzux: wtf is a “group chat?” i am an adult, i only have two friends and they don’t know each other",,,,,,
