screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
QueenZoot,earth worm in the dirt 🪱,"Mississauga, Ontario",in the left corner weighing in at 0.15ug my 2nd last brain cell...and in the right corner at 0.16ug my last brain cell... LETS GET READY TO RUMBLE THEY/she,Me and the theydies at the club once we get our mRNA vaccines 😍🤤 https://t.co/ttGW26o3tX,,,,,,
AlexandraErin,Alexandra Erin,Hagerstown,"Alfie Award-Winning Author/Commentator

She/Her

Nonfiction: https://t.co/A1QTC3bz2e
Fiction: https://t.co/izMsIJ9kdY

Query: blueauthor@alexandraerin.com","RT @PaprikaPink: @AlexandraErin Friends, Theydies and Countrythems, do not throw away your shots!! https://t.co/AEWl5hkFLg",,,,,,
PaprikaPink,PaprikaPink,"Las Vegas, NV",Inscrutable melange of deep compassion and resolute laziness,"@AlexandraErin Friends, Theydies and Countrythems, do not throw away your shots!! https://t.co/AEWl5hkFLg",,,,,,
Malibu__Mel,Big Melly Milkers🌸,"Chicago, IL",🌺Afro-Latino🌺 just here to be chaotic and hot. (he/they) •Being hot is a mindset babe💋,Theydies and gentlethems I give you. Her. The colour blocking? She is the moment. 💋 https://t.co/I1WEkXBArC,,,,,,
enbylebeau,Your Pal JD 🕷,"Houston, TX","Nonbinary ho, goth nerd, terato trash. Elderly on social media. It/Its. ♈♓♏🍋🧂
💉10/14/20","RT @LylaHammar: as hilarious as the word ""himbo"" is, I really hate that we've gendered the word ""bimbo"" now
bc now we have to have the whol…",,,,,,
LylaHammar,Lala Lyla! 🎶✨ Simon Fairchild Apologist 🤸‍♂️,,Animation/Illustration | 25 | ADHD | they/them | 🏳️‍🌈 ✨ ace pan ✨🏳️‍🌈 | 日本語 | Instagram: lylahammar,"as hilarious as the word ""himbo"" is, I really hate that we've gendered the word ""bimbo"" now
bc now we have to have… https://t.co/KuvojGI2fK",,,,,,
CashKingZeta,Cash King Zeta,USA,"Dom Daddy🧔🏻 Ca$h King🤴🏻 Latino 🇳🇮 Queer 🏳️‍🌈 He/She/They 

💸CA: $MasterZ90 
💸Amazon GC: masterzeta92@gmail.com 
AllMyLinks below","Ladies and theydies, are your thumbs almost always the first to chip when you get a gel manicure 💅🏽?",,,,,,
SarahMonigold,sarah monigold,"Dallas, TX",nothing to see here,RT @tiddybitch666: the whole national r word day could very well be a troll thing but u can never be too safe and it’s absolutely terrifyin…,,,,,,
FemmeFox,FemmeFox/Alyna,"England, UK","Streamer on hiatus, getting their life together and becoming someone new.","Your punk band boo just bleached their hair!

Theydies and Gentlethem, form an orderly queue. 😏😉 https://t.co/TZnTdeQwMw",,,,,,
chloenoel,chlomoney ♏️,we outchea,24 🤙🏻 she/they 💗💜💙,m’theydies https://t.co/SWCOuFRKID,,,,,,
