screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
JinnysJoe,JinnysO'Joe,Dublin,"Ceg y Groth 🥰

I'm a Witch don't Ya know
🟪⬜🟩

#TCDFFT","@TraherneJoe @JakeGraf1 Jake is a transman, is acting very like Chase Strangio.
Transmen, transwomen just seem to h… https://t.co/M3TA5FPT7U",,,,,,
JinnysJoe,JinnysO'Joe,Dublin,"Ceg y Groth 🥰

I'm a Witch don't Ya know
🟪⬜🟩

#TCDFFT",@grace_hawthorn @JakeGraf1 Jake is a transman has as much hate for women as trans identified males do.,,,,,,
LPaschall1202,Liam Ashtyn (He/Him/His),North Carolina,Keynote speaker. A Voice for Change. Makes Shift Happen. Cisco Our People Deal Culture Ambassador. Go Pats! Find me on Insta: tfbfan4life Opinions are mine.,"I didn’t choose to be a man. I chose to be myself.  

#Transgender #HumanBeing #LGBTQ #TransMan #Equality #Belonging #AuthenticallyMe #BeYou",,,,,,
zach_dylan57,zach,,,Don't ignore your own potential #quotes #facts #Motivation #SelfWorth #transman https://t.co/CzNKvm1v6f,,,,,,
banananyasuit,cat in banana suit, // elliot =^•w•^=,"🍌multi-fandom🍌 
∠( ᐛ 」∠)＿
he/him |18|
• anti white supremacists •","RT @hostfu2694: @WalmartInc why is @OptumRx requiring a transman provide documentation that he has a formal diagnosis and ""needs"" hormones…",,,,,,
amarejmn,☆~,⚢ 21,women and lesbians are the priority,And can you believe she had the AUDACITY to accuse me of wanting to become a transman? 😭 idk where she got that ide… https://t.co/Mz7muyjhiV,,,,,,
ScottNewgent,🌍 Scott Newgent 🌍,Texas,My Trans Surgeon-Dr. Curtis Crane-Beware. Join Scott’s Army-Transman against childhood medical transition https://t.co/nIaYeMzJ6g #4UGrandadNewgentUntil4AuntieGail,"I love this transman, he is so cool. 

Preach...Trans Preach My Pretend Brother From Another Vile Of Testosterone..… https://t.co/NEcn7AGpMK",,,,,,
yungsidejavi,javi,"Newark, NJ",,I’m not gone lie I wanna fuck a transman 😆,,,,,,
Lizzie26097961,"Liz Ray Moore--You'll find me under ""more replies""",Great State of Texas. ,"My teenage daughter is currently brainwashed by the TransCult.  Working to deprogram her and educate her before it is to late.
I retweet a LOT.","Disappointed but not surprised that my alma mater, which bills itself as the 2nd oldest women's college in the US a… https://t.co/Z5IED1NdXe",,,,,,
WillietheFly,🟥Willie Grumpy Git Ross,"Livingston, Scotland","Livingston season ticket holder, long-standing LA Chargers fan. Like LOUD rock music. GC. Independence for Scotland and Wales. Fnord Technologies.",RT @Obsolesence: @Political_AlanS @scottishgreens Oh &amp; the business about whether a transwoman should be treated as a man and a transman tr…,,,,,,
KikyoPhoenix,🌌🏳‍🌈KikyoPhoenix🏳‍🌈🌌,,"I'm LGBTQIA+, a writer, and a streamer for @CyberCorpTwitch They/Them Affiliate at https://t.co/Fx2WtE9hUc

my discord: https://t.co/MbGmrmeuOd","RT @Babblinggoat: I'm Babblinggoat (he/him) an openly queer transman who stream on twitch and lecture at universities &amp; more!🧑‍🎓🏳️‍🌈

I foc…",,,,,,
ToastNotCooked,Toast (they/them),,"Bennett
they/them","RT @Babblinggoat: I'm Babblinggoat (he/him) an openly queer transman who stream on twitch and lecture at universities &amp; more!🧑‍🎓🏳️‍🌈

I foc…",,,,,,
ghostlycomplain,Ghostly. {they/them},,"26, UK, bi/demi, disabled. 🌿
The cosiest little ghost pixie.
disabled & crafting content creator. 😌

my low vision means poor spelling. 🥲","RT @Babblinggoat: I'm Babblinggoat (he/him) an openly queer transman who stream on twitch and lecture at universities &amp; more!🧑‍🎓🏳️‍🌈

I foc…",,,,,,
bIueora,evil soobrangdan,20; SHE/THEY; CARRD BYF!!!,what's up everybunny!!,RT @95zkento: reposting my gofundme for #TransDayOfVisibility i raised to goal so that i can help my best friend move out as well since she…,,,,,,
temiraijen,مِيرَاجِيْن.,,#yaoi #anime #sherliam #jennie #feminist #fujoshi I’ve tasted blood and it is sweet.,@ZessIly He’s a transman please use male pronouns🤍,,,,,,
Babblinggoat,Babblinggoat 🏳️‍🌈,,"23, Transman he/him, Streamer, Lecturer, Cosplay judge, Captain, @rageclubtwitch @officialnerkco LGBTQIA+ rights! 🏳️‍🌈😍

email: thegoatthatbabbles@gmail.com",I'm Babblinggoat (he/him) an openly queer transman who stream on twitch and lecture at universities &amp; more!🧑‍🎓🏳️‍🌈… https://t.co/aHUBvCYHRs,,,,,,
txtdaIso,punch defender,han 21 they cbyf,#YEONJUN: lesbians get behind me,RT @95zkento: reposting my gofundme for #TransDayOfVisibility i raised to goal so that i can help my best friend move out as well since she…,,,,,,
peachb3d,Puppycat Is A Lesbian 🧚🏾‍♂️,🍑☘️🪐🦇🍧🇭🇹,PRINCE PEACH. they/them 19. pfp by @cieriie_cieriie  🌙 tolu ❤️,RT @95zkento: reposting my gofundme for #TransDayOfVisibility i raised to goal so that i can help my best friend move out as well since she…,,,,,,
YVESTlGMA,taehyung.,she her 16 cbyf,average satellite enthusiast,RT @95zkento: reposting my gofundme for #TransDayOfVisibility i raised to goal so that i can help my best friend move out as well since she…,,,,,,
qenzalmao,Big Q ⌦,xe/they/he • AAA-spec • minor,hi ➫ #twtza #honeytwt • founder and creator of ransoup gc,"on today's episode of question my gender, am i a transman or just wanting to be a guy and have a mlm relationship is the question😀",,,,,,
IsaveThaHoes,FreakDaddy,Houston,Dl transguy I got fiya weed too #houstonDl,#houstondl #houston #transman trying to get a sneaky link in who down?,,,,,,
cami_waves,CamiiiWaves,Up to Heaven,Unamused• Super Duper Bi🏳️‍🌈• Biological Adult Human Female♀️🌈• Slut-Whore• Sex Critical• Porno Lover• Gaymer•✨🥀💜 Pronouns: Fuck/Off/And/Get/Help,@RadFeMMAHF @KristofferPhilp @naomirwolf @jk_rowling You know a transman is a ftm transexual. Ftm. F e m a l e.,,,,,,
Hontas_Farmer,Hontas Farmer,"Chicago, IL","Two-Spirit, Theoretical Astrophysicist, good friend and loyal family member.  Curious, caring, and outgoing are what I am.  Here I will muse.",This is the question we all discuss most on Twitter.  We argue over no matter the subject the application or miss a… https://t.co/dgARL6lhVI,,,,,,
