screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
Yaegarism,Eren Jaeger,,"19.

anime/football account.",RT @UtdYahz: This is Harry Maguire ladies and gentlemen https://t.co/LGv7Pd2Ix2,no,no,no,no,no,no
cwyscarver03,Corey Wyscarver,"Omaha, NE","Not an Ok State fan, just like the hat. #Huskers🏈, #Jayhawks🏀, #RDJ🏀, NFL #Cowboys🏈#America’sTeam #FriendofTheProgrum","RT @KUHoops: Ladies and gentlemen, your 2021-22 Kansas Jayhawks https://t.co/zVFtSZ61aD",no,no,no,no,no,no
GiantInflatabl1,Giant Inflatable Pterodactyl,,"Chiefs and Jayhawks, Jayhawks and Chiefs","RT @KUHoops: Ladies and gentlemen, your 2021-22 Kansas Jayhawks https://t.co/zVFtSZ61aD",no,no,no,no,no,no
JoStardust,Joanne Hoggard🌸,"Hull, England",,"RT @calvinrobinson: Very apt, via @everythingj4ck:
https://t.co/SB17Tk0X4R",no,no,no,no,no,no
anas_488,Anas Ahmed 🇵🇸🇵🇰,"London, England",#FreePalestine🇵🇸 |🇵🇰 | In love with the beautiful game | MUFC,RT @UtdYahz: This is Harry Maguire ladies and gentlemen https://t.co/LGv7Pd2Ix2,no,no,no,no,no,no
themorganleigh,Morgan Anderson,"Washington, DC",Digital Director for @RepLizCheney. Proud Kansan. Margarita Enthusiast. Opinions are funny (& mine).,"RT @KUHoops: Ladies and gentlemen, your 2021-22 Kansas Jayhawks https://t.co/zVFtSZ61aD",no,no,no,no,no,no
RosaAPBMonteiro,RosaMonteiro,"Valongo, Portugal","Valongo, Porto 📍
33 anos
💑 @86_Rafa |
Viajar | Cultura | Arte | Natureza | Netflix | Disney | Viver a vida 🙏","RT @lizcalvario: Ladies move, gentlemen move! Somebody ring the alarm because @xtina is performing at the @LatinGRAMMYs 👏🏽🎶 https://t.co/QR…",no,no,no,no,no,no
Stimmyjr,🦃StimmyKimmel 🦃,Las Vegas ,"Fit life🏋🏽‍♂️💪🏾 Music life 🎶🎧🎹 I AM Smol😂 “Love me without restriction, trust me without fear, want me without demand, and accept me for who I am.”",RT @Lifeoflafeno: I hate when women try to tell me “You know how many niggas want me !?” bitch u act like u got a team of gentlemen waiting…,no,no,no,no,no,no
BeaReno,Civics and Civility are essential!😎,NYC,"RN, retired and sick of BS, love reasonably nice ppl and animals, BLM, 🌈🌊📰📚📺#Resist💪😎💙 #StopAsianHate #TGTrendGang","RT @JewishResister: Ladies &amp; gentlemen,

This is Newsmax's White House correspondent describing how the bible reveals how the vaccine manda…",no,no,no,no,no,no
jahnelleeee_,BIG NELLE👑,,living & maintaining👑| #VState📚|1922🐩💙💛 | CEO of: @ shadybusinessboutique ✨,RT @diiamondj2: IF YA MAN PLAY FOR WEST GA FOOTBALL ...HE'S A WHAT LADIESS AND GENTLEMEN ?? https://t.co/f1oHRVgSxi,no,no,no,no,no,no
MostafaKhedr_,marshall,Tanta,You gotta hit rock bottom before u can quit ur demons.,"RT @Omaaar96: Ronaldo scores another UCL goal, Water is wet ladies and gentlemen.",no,no,no,no,no,no
