screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
TheEnsslin,Frankie Blaus,"Manchester, England","""(one of) manchester's best queer writers."" - MIF, 2020. 

A FUNERAL OF PLUMES & LIGHTS coming 2021.

Also a dramaturg & editor - DM with enquiries.",@__apf__ Omg people stay misgendering me hi I've literally said im a gentleTHEM,no,no,no,no,no,no
JustALilArtist1,🍫🎃Just A Lil Artist🎃🍫,,"Hello everyone, im Just a Lil Artist! A tv head with anxiety and depression, and also has NO idea what their doing in life! And this is my official twitter!","RT @Nezziemonster_M: I'm saying ""theydies and gentlethem"" and you can't stop me.",no,no,no,no,no,no
knightofmoss,Kris,"💚: Ethan, 25 // hi/hir  art:",oh boy i love moss  // 16 // strictly they/them. (31/10). // watch my super smashing fighters speedrun livestream,"if i see anything like ""m'theydy"" or ""gentlethem"" refering to me one more time im gonna flip",no,no,yes,no,no,no
_dupdob_,Dupdob,"Paris, France","Software Crafter (bearded kind), NFluent maintainer, Stryker contributor. I kinda like automated testing.
Lucky to be married to @FDupuydauby","RT @malk_zameth: Ladies and not-ladies, friends and foes, Theydies and Gentlethem :

Im 40 today. https://t.co/VjmFesVKJG",no,no,no,no,no,no
malk_zameth,Romeu Moura,"Paris, France.","Endless conversation — with friends, compilers — on art, equivocacy, Symmathesy, methods, absurdism, dialectic, paradigm jumps, serendipity.","Ladies and not-ladies, friends and foes, Theydies and Gentlethem :

Im 40 today. https://t.co/VjmFesVKJG",no,no,no,no,no,no
nianamu_,🌶⁷,they/she | 19+,"#NAMJOON : after this pandemic shit | bts, anime, genshin | ar57 asia",good afternoon theydies and gentlethem,no,yes,yes,no,no,no
Heckteck2,Heckteck,cool guy land 😎😎,"developing @reavegame (and ULTRAKIT)
@thesaladmancer made the spooky pfp",@cece_lune gentlethem (Fucking Stop My Continued Existence),no,no,no,no,no,no
bifive_,Meat Papi,"NC, USA","a they/he friend trying to make it in this haw yee world
🇵🇷 -› 🇺🇲","@pikeiscool @shalibos No god, just a humble gentlethem",yes,no,yes,yes,no,no
NaweezyKareezy,Naweezy,,i didn’t say fucking yee,good afternoon theydies and gentlethem https://t.co/s1dfdioQts,no,no,no,no,no,no
ChaosAbound13,Wynter Aster,,,@ghostblackberry @nataliecsolomon @sagekozub Most welcome my dearest gentlethem lol,no,no,no,no,no,no
