screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
GenZandMillen,AJ,Indpls ✈  Houston,"IG: @genzmillen,✨Shop all new Streetwear fashion and styles for trendy tomboy chic looks. ✨",@badassfrench_ Shop https://t.co/wFd7MIRde1 ladies!! Super cute street wear for the tomboy chic girl ...or guy. 😉,no,no,no,no,no,no
hotoffIine,ju,,a speeding turtle,the voodoo ladies in my family only use social media for recipes and garden photos thats why I dont be believing y'all,no,no,no,no,no,no
AnnaVic88472217,Anna Victoria #KBF,,"Animal lover, owned by four dogs. Love sport, politics. LUFC supporter. Part time therapist and singer. Love martial arts and horse riding. History bore.","Talk about virtual signalling. I went to a club tonight and the singer belted out songs, left the stage to interact… https://t.co/kyJ4Zcrhrn",no,no,no,no,no,no
KerryAnnSmith1,Kerry-Ann Smith,"South Australia, Australia",I sometimes retweet because I can’t believe that some folk are so ridiculous. Most times I tweet because I’m interested. Go Power and Maggies!,RT @TonyHWindsor: The man who chases a terrified 17 year old girl into a ladies toilet says he is better to be in the tent.,no,no,no,no,no,no
OMwomenscouncil,Ole Miss Women's Council for Philanthropy,"Oxford, MS",A scholarship program available at #OleMiss for all entering freshmen that provides training and counsel for students destined to be leaders.,RT @katesmithnurse: So many great ladies in these pics!!!!,no,no,no,no,no,no
yahyahyes,:*,,"trouble don’t last always, bitch",RT @abbygov: ladies in 2022 we are not committing to men until they take the attachment style quiz and show proof of secure attachment!!!,no,no,no,no,no,no
blondedpov,👩🏾‍🎤,black she/they 17,multifandom,"RT @lils_romanoff: Decided to share my favourite marvel ladies❤️, yes I already know Ajak will be my favourite💁‍♀️ https://t.co/wq3lKmbIoX",no,yes,yes,no,no,no
ikharowhiz,Shining,"Benin-City, Nigeria",Mathematician• Good Vibes,"RT @analike_ejike: @Wizarab10 Guy turns down a Lady advances &amp; Greenlight

Ladies: God forbid.. Ị won't do such

Man gets rejected by a Lad…",no,no,no,no,no,no
ThompsonMicaiah,Micaiah Harrison,"Houston, TX","I'm a R&B Songwriter, Dancer, and, Entertainer. https://t.co/s80a1dFJzp","The Shout of the day goes to @Blakc_gypsy &amp; @playmakerjody , I appreciate both of you ladies for following me on here",no,no,no,no,no,no
AusSciNicole,Nicole Tay,"Jersey City, NJ","Master of Biomedical Science alumni @unimelb. 
#science #nature #guzheng #Vegetarian #Gamer #Bookworm 
New CTPM @LillyPad. Personal Account - Views are my own!",RT @WFKARS: Passing this on so you ladies know an easy way to screen out guys who take relationship advice from Matt Walsh. https://t.co/ze…,no,no,no,no,no,no
drsarascofield,imogen temult lovebot,becca,"I'm only here for girls, games and the gays","RT @viridializard: ✨Sorcerer Ladies✨
#CriticalRoleSpoilers #criticalrolefanart #criticalrole https://t.co/wC31HnUOWg",no,no,no,no,no,no
DannyHonick,pimp skrimp,"Indiana, USA","BSU '24 ΦΚΨ
fuck MAPs
''You were good son, real good; maybe even the best.''- Rick May
Coolmath Games followed on 6/14/21 :)",RT @Hideki_Naganuma: IM STILL SINGLE LADIES,no,no,no,no,no,no
tgroyalhighness,YourRoyalHighness,Traveling,,The man at the gate at Busch Gardens was like how you beautiful ladies doing tonight? &amp; i was like good Will our be… https://t.co/JIgMqHHtM1,no,no,no,no,no,no
liverbird1892_,リオ,"ÜT: -6.292353,106.802429","Liverpool FC, AJ Collector, & Looking for Better Life.
#TrustNoOne, but Allah & Rasulullah.",RT @LFC: Ladies and gentleman...the boss ❤️ https://t.co/VLQfjwReV3,no,no,no,no,no,no
Butterfly070581,#⃣βuTt€®F£¥ P®!π¢€$&🌻,Republic of the Philippines,"You Are  What You Are, AND What You Are Is WONDERFUL!","RT @intomaydon_: ladies and gentlemen HER.

🖇️: https://t.co/8PKUReCyVp

#MaymayEntrata https://t.co/MFUtZSrEEP",no,no,no,no,no,no
kaynyarko_,K.wame,NY,aesthetically challenged. 🐍🥤. barca,RT @tysorosey: Just making women boxers for you ladies 🥺 https://t.co/ke8lRZs9ED,no,no,no,no,no,no
Ardelia85781359,酒阑人散,,,"RT @paulpogba: Ladies &amp; gentlemen, the vegan preds 👟🌱 PP x adidas by @StellaMcCartney @WRenard on est ensemble proud you’ll wear it too 🙌🏾…",no,no,no,no,no,no
0FrancisFurter0,The Good Doctor,,I see you shiver with antici...,Yeah Ladies... https://t.co/yZNwqXad7Y,no,no,no,no,no,no
_marv3lolic_,genesis | loki’s gf 🎃,avengers compound ,22 | scorpio | hispanic | bi | she/they | blm | tiktok: _marv3lolic_ | MCU fan | i do edits | garlic mafia,"RT @lils_romanoff: Decided to share my favourite marvel ladies❤️, yes I already know Ajak will be my favourite💁‍♀️ https://t.co/wq3lKmbIoX",no,yes,yes,no,no,no
