screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
Apex_Thembo,Krios (yeah we gay),He/they ,"23, Bi, hydration enthusiast. This ain’t a place for minors, i say bad words and shit. If you’re a racist, bigot, or overall shitty old white dude, choke. ty ❤️",@strxbby_milk BRO THATS SO FUCKING FUNNY BC IM LISTENING TO THEM RN JFKGNDND,yes,no,yes,no,no,no
strxbby_milk,leon 🔮🪐,he/they! ~☆,carrd under construction!♡,@Apex_Thembo did i tell u my mom was so obsessed w nirvana we almost moved to seattle and of i was a boy my name wa… https://t.co/iNtu7dNY4b,yes,no,yes,no,no,no
Apex_Thembo,Krios (yeah we gay),He/they ,"23, Bi, hydration enthusiast. This ain’t a place for minors, i say bad words and shit. If you’re a racist, bigot, or overall shitty old white dude, choke. ty ❤️",got a new bracelet and forgot how to act fr,yes,no,yes,no,no,no
Apex_Thembo,Krios (yeah we gay),He/they ,"23, Bi, hydration enthusiast. This ain’t a place for minors, i say bad words and shit. If you’re a racist, bigot, or overall shitty old white dude, choke. ty ❤️","@strxbby_milk cant help it, it’s terminal",yes,no,yes,no,no,no
strxbby_milk,leon 🔮🪐,he/they! ~☆,carrd under construction!♡,@Apex_Thembo k lets not get to fruity 🤨,yes,no,yes,no,no,no
Apex_Thembo,Krios (yeah we gay),He/they ,"23, Bi, hydration enthusiast. This ain’t a place for minors, i say bad words and shit. If you’re a racist, bigot, or overall shitty old white dude, choke. ty ❤️",@strxbby_milk omg 😳 you gonna hold my waist and tell me we’re on top of the world,yes,no,yes,no,no,no
strxbby_milk,leon 🔮🪐,he/they! ~☆,carrd under construction!♡,@Apex_Thembo ill take u to the space needle and we can have a coming of age movie moment,yes,no,yes,no,no,no
Apex_Thembo,Krios (yeah we gay),He/they ,"23, Bi, hydration enthusiast. This ain’t a place for minors, i say bad words and shit. If you’re a racist, bigot, or overall shitty old white dude, choke. ty ❤️",@strxbby_milk IN THEORY but that’s the timeline i figure it’ll work out in,yes,no,yes,no,no,no
st4rd4st,Φr. Aκιλες🖤💜💖 (comms closed),all my art links⬇️⬇️,ENG/ESP || Este es mi bujero negro de cosas de esas aleatorias que me gustan. I draw thingus and RT art and shit./ IRL Boss /23/♓♑♏/icon by @choroidplexus_,@EmeCe_sp 😭😭😭💖💖♥️🖤 YES...MY LIL HANDSOME THEMBO...,no,no,no,no,no,no
Apex_Thembo,Krios (yeah we gay),He/they ,"23, Bi, hydration enthusiast. This ain’t a place for minors, i say bad words and shit. If you’re a racist, bigot, or overall shitty old white dude, choke. ty ❤️",@strxbby_milk about 2-3 months out,yes,no,yes,no,no,no
Atelopus_thembo,Atelopus barbotini,"Oslo, Norge","En ikke-binær som spiller D&D og tegner. vegetar, pan og poly.
Anonym konto, Ikke bruk navnet mitt på timeline hvis du vet det.
Pronomen : de/dem/hen/han",RT @ensomkaktus: 456 needs to practice his cunnilingus,no,no,no,no,no,no
lhaping,lhamo ལྷ་མོ་ / champions momager,,བོད་པ་│20s│she/her│ follow @champscharge │ header by @isaacikeda,Imagine your parents being forced to move out of your childhood home and neighborhood because a white polyamorous n… https://t.co/YjTIAxqqMy,no,yes,no,no,no,no
staffire238,🏳️‍⚧️SnowKeith🏳️‍🌈,Minnesota,"He/Him🏳️‍⚧️|21| 🏳️‍🌈|Ntv
Favorite Stinkers:
✨@euiik @ablackhound ✨
3 days until ACNH update
Banner and Icon by  @smolpinkcat
18+",@moopdrea WHAT?! DUDE YOU LOOK AMAZING!!! MASC/THEMBO AF,yes,no,no,no,no,no
BigDumPillow,Ander,"Dms, business only + mutuals",17 | Artist | Gay 🏳️‍🌈 (They/Them) | Icon: @doginacafe Banner: @twomint__ | Comms Open! |,@loodpuppyAD Thembo*,no,no,yes,no,no,no
sleeplessleaf,leaf,,"sad a lot • scoot is baby • acnh, genshin, resident evil & more • 23 • she/her • 18+ pls","RT @xdetune: Thembo singing about how bad they want the creme.

Not clickbait 😏 https://t.co/CKxece3cTR",no,yes,no,no,no,no
TheVioletSoul69,Artimus ~ The Wolf,Purgatory,"Greetings, My name is Artimus 🦋 (He,She,They) 22","RT @xdetune: Thembo singing about how bad they want the creme.

Not clickbait 😏 https://t.co/CKxece3cTR",yes,yes,yes,no,no,no
KiiroSaiko,🎃🏳️‍🌈🦇KiiroPedro🦇🏳️‍🌈🎃,España,26|ENG-ESP|NB|Bi| 2d Artist settled in Madrid|Currently working at Secret 6 |DND|Critter|,"RT @pinapali: Is not that I hate Christmas is just that I look too cool as a vampire 

Feat @KiiroSaiko my vampire thembo https://t.co/kAer…",no,no,no,no,no,no
Multibasura_,Berry Sooman | King Wenee,On the back of Wonho's vespa,"If you scroll long enough you'll see who I'm a fan of. You'll also see that I ain't takin none of this shit serious & neither should you

they/them nsfw","Pls yall I'm a thembo, ntm on me 😭😭😭",no,no,yes,no,no,no
