screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
CretinBot,MarBot,BotVille,HI I TWEET THINGS.,outgoing friend request more like introverted friend request am i right theydies and gentlethems,no,no,no,no,no,no
kaavyx,halloween kaavya,she/her,Determined not to fray or fall apart,LADIES THEYDIES AND GENTLEMEN IT IS A WONDERFUL DAY TO HEAD TO THE POLLS!! #ElectionDay2021 https://t.co/oGO8VEpRkP,no,yes,no,no,no,no
FuDiggity,FuDiggity,,...Starting to think the zombies aren't coming.,"RT @donohue_blake: Theydies and gentlethems, we got em https://t.co/LW72T96xj0",no,no,no,no,no,no
NoNoGraziano,Noelle 😇,bawston,clean and dope like heroin soap 🧼 insta: @_beautybynoelle RIP Nuge 👼🏻,"leaving work like ""goodbye ladies, theydies, and greg"" 👋🏻😘",no,no,no,no,no,no
donohue_blake,Blake Donohue,"Cedar Rapids, IA","Socialist, Atheist, humanist.
He/Him","Theydies and gentlethems, we got em https://t.co/LW72T96xj0",yes,no,no,no,no,no
fleetwoodsnackk,noah fence.,"Ohio, USA",29. mostly all torso and teased hair. she/her. 🏳️‍🌈♊️🌻,Ladies and theydies I am straight up white knuckling it at this point.,no,yes,no,no,no,no
chefcoatpapi,Jesus Joestar,,can’t we all just be friends? they/them,"Theydies and gentlethems, dreams do in fact come tru https://t.co/RFHtCVTZTE",no,no,yes,no,no,no
GabrielleTells,shop scoobysnax,,most likely to take the joke too far,Here’s your chances theydies &amp; gentlethem lay it on me https://t.co/z3ESrFPSl5,no,no,no,no,no,no
dada_locks,Martin Luther Kink Jr 🇱🇨🇳🇬,London,"is this mic on? Dad joke account run by a joke of a dad, who also happens to be the dad of several bad jokes.",@clvtno I like theydies and gentlethems,no,no,no,no,no,no
clvtno,clv. ,,🦻🏾they/them,"Get home safe, ladies and theydies.",no,no,yes,no,no,no
ebelliveau,(ᐛ)xDEADCE11::🎃🚀,On Orbit,"I've got a compulsion for propulsion. Ancient SWEng quickly turning into feral biprop fiend. 

#BlackLivesMatter

Ipso Es In Medias Res.","@DAkacki I'm a fan of ""theydies and gentlefrogs"" but this works too",no,no,no,no,no,no
stalemold,sick gorl,"Chicago, IL",24. Special education.,*theydies included,no,no,no,no,no,no
sk8tergrrrl666,𝕣𝕠𝕘𝕦𝕖 𖤐 🎄,United States,i’m not like most girls. i’m ✨worse✨| Black & Queer; high & on wheels | horror movie junkie | she/her 🔪🖤🦖 #BLM $rogue1ne 😚,"I’m watching some derby practices / training and OH MY GOD, these ladies and theydies are stronger than the fucking marines 😭",no,yes,no,no,no,no
joanzing,lil 'roo,New York City,writer. queer. NB. wrestling fan. tabaxi monk. british queer style probably. she/they,Gender is an ongoing clusterfuck of self discovery and theydies and gentlethems i am In It.,no,yes,yes,no,no,no
camruined,christmas (baby please cam home) 🎄,welsh in newcastle,@cameronwrjones got suspended lmao | he/him 🏳️‍🌈 #BlackTransLivesMatter,"Place your bets on how long am gonna be sat in the Same Day Emergency Care Unit ladies, gaydies and theydies",yes,no,no,no,no,no
sleepybladeinc,caoimhe! 💤🎗,they/she/vil // 18,np fam,"this was commented under a tiktok showing eret's costume (/cosplay?)

i just know this person says ""theydies and ge… https://t.co/F9bHERNGDg",no,yes,yes,no,no,no
nickeyrobo,Nickey Robo,"Minneapolis, MN","Media, crafting, community art, & bicycle obsessed feminist. BLM - ACAB - No justice, no street","Good morning, theydies and gentlethems. Get out and vote today! https://t.co/ZFCHpRzic1",no,no,no,no,no,no
hamish_kitty,SAD DISASTER SHOP OWNER,"Illinois, USA","Gabby 26, Ex-Chicagoan. Latinx/Creole 🌱NB: she/him/they no pronoun preference🌱 @frijoliz made the header💕 COMMISSIONS OPEN💕",Good Morning Theydies and Gentlethem- how r these bitches the same bitch https://t.co/LWs0dkuxIR,no,yes,yes,no,no,no
TAMACOOCHlE,Khader,"Amman, Jordan",Tweets for past self present self future self,RT @usxrnotfound: gm theydies &amp; ladies it’s that time of yr ❣️ https://t.co/dB7eABFxM4,no,no,no,no,no,no
usxrnotfound,𓂆demicolon,,my void! my void! my void! my void!,gm theydies &amp; ladies it’s that time of yr ❣️ https://t.co/dB7eABFxM4,no,no,no,no,no,no
LittlePulizzano, QuaranAbs 👽,"BAE Area, CA",s t a y v i b r a n t ✨ San Holo Ambassador 🌈,"Ladies and theydies, invest in a good vibrator. You’ll thank me later.",no,no,no,no,no,no
sierra_mp3,sierra but with bangs 🐰🖤,,⛓ 21. living dead girl. 🔞 // they/she. ⛓,also dying it red later this week stay tuned theydies.,no,yes,yes,no,no,no
ghostretrogay,Sister Mulch?,,"primal - Hyperion gang play ffxiv or die
I've been trans for almost three years
she/her support blm or die
#ProtectRussianTransLives",@ScaevaDeformed theydies and gentlethems I present our new themperor...,no,yes,no,no,no,no
FoxxDens,max,,im a fox and you just lost the game,"pls do not say ""theydies and gentlethems"" the whole fucking point of nonbinary is that we're not ladies or gentlemen",no,no,no,no,no,no
Moenigin,Moenigin,Tiohtià:ke,ACAB / fck capitalism/ They/Them / Non-Binary / Tea Drinking Jewish✡️ Brew Witch🍵 / depressed + fibro + CFS/ME / lives on stolen land / likes writing and music,woooooooo theydies and gentlemensch i am high off my titties and about to watch Halloween (1978),no,no,yes,no,no,no
MAnneAmbrose1,Margaret Ambrose,,"History. Old films. Dogs.Fair deal for overlooked people & voiceless creatures. London, Rome. NYC.Books,poetry,our countryside, our townscape. Architecture.","@Bel_B30 @PaulLon91475303 ‘Good morning, Theydies and Gentlethem.’",no,no,no,no,no,no
neweraloading,jalisa ♡,24 || NY || she/her ,ME AND ALL MY BITCHES FLY WEISHEN AIR,RT @GLOSSYMIKU: Save a horse ladies nd theydies https://t.co/NvIN9GW5ab,no,yes,no,no,no,no
nourel_ein111,nino,,🇱🇧🇵🇸,Ladies &amp; theydies *** v sorry,no,no,no,no,no,no
lizziemuffinz,Lizziemuffinz,,"She/Her 27 years old.
Gay for @bergdisnorth.
Transfemme nonbinary? idk gender is fucking stupid.","RT @KyttenAttax: 💫💥Heres A Reminder💥💫

“theydies &amp; gentlethems” is gendered

Theydies is a gendered term

Gentlethems is a gendered term

✨…",no,yes,no,no,no,no
KyttenAttax,☭︎ ︎KyttenAttax 🌱☭︎,"Washington, USA","🌻Ace, Demi, Polyam🍄Devoted Troublemaker🐙Disabled & Autistic👾Twitch Affiliate💜gaymer🎮 Xemlin Xe/Xem or They/Them⚡️Trans🏳️‍⚧️","💫💥Heres A Reminder💥💫

“theydies &amp; gentlethems” is gendered

Theydies is a gendered term

Gentlethems is a gendered… https://t.co/uWC5D0XyFW",no,no,yes,no,yes,no
MMerrymore,Mr. Merrymore,"Cape Town, South Africa","Sitting on ur father's face. 
#GAY
Thats all.",RT @beeepbeepboop: theydies don’t ever let anyone try to convince you to settle for less [than very sweet himbos] https://t.co/yDiuvCz9Qf,no,no,no,no,no,no
1_DemiGod_1,🌹Demi_God🌹,"Cape Town, South Africa","Artist
I draw gay art🏳️‍🌈
I'm innocent most of the time",RT @beeepbeepboop: theydies don’t ever let anyone try to convince you to settle for less [than very sweet himbos] https://t.co/yDiuvCz9Qf,no,no,no,no,no,no
theydies,Juvenile,"Los Angeles, CA",,@freckhead Ethereal ✨,no,no,no,no,no,no
