screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
Connie_TO1682,Connie,"Ontario, Canada","TV fanatic- Timeless, Unreal, Younger, The Bold Type, Law & Order SVU, How to Get Away with Murder, 911 and the list goes on..",RT @UbakaOgbogu: The amount of abuse I received from transphobes in the past 24 hours is quite something. As someone who gets abuse from ra…,no,no,no,no,no,no
OutofpetS,Out of Step,,"Just as interesting as my profile pic would indicate.
I wouldn’t follow me.",RT @UbakaOgbogu: The amount of abuse I received from transphobes in the past 24 hours is quite something. As someone who gets abuse from ra…,no,no,no,no,no,no
AdenosineStar,aden.exe,they/them/she/her/xey/xem,tick-tock went the rusted cog groaning. moaning. choking. tick-tock went the cog kneeling. scraping. screaming. tick-tock. tick-tock. tick-tock.,"RT @rollerska8er: At the end of the day, Atwood's ideology is one that cannot deal with these ideas. Thus she, and others of her ilk, must…",no,yes,yes,no,no,no
charlenewight,Charlene,Charlottetown,Mom 👩‍👧‍👧/Auntie 👶🧒,RT @UbakaOgbogu: The amount of abuse I received from transphobes in the past 24 hours is quite something. As someone who gets abuse from ra…,no,no,no,no,no,no
srgold99612284,s r. gold,,,RT @HuffPost: Dr. Rachel Levine is the nation’s first openly transgender four-star officer and federal official confirmed by the Senate. ht…,no,no,no,no,no,no
Char13348022,Char,,I'm a hippie I keep it real! If you don't like my humor please walk away I have no filter. AIN'T NOBODY GOT NO TIME FOR THAT!!! I'm from Arkansas ✌😎,RT @HuffPost: Dr. Rachel Levine is the nation’s first openly transgender four-star officer and federal official confirmed by the Senate. ht…,no,no,no,yes,no,no
Democracy_Spot,🔥 Democracy Spot 🇺🇸 🏳️‍🌈 💉😷 ❤️,America! 🇺🇸 ,"Opinion + Satire | #ConfederateGOP |
Evolved #Hillbilly | #Photographer | #GoodTrouble | Aiight!
#AntiFascist | #BlackLivesMatter | #SoulFoodie | He/Him/Y'all",@WUTangKids @asoldiersvoice @TomCottonAR @USArmy ⤴️ Why would @TomCottonAR make transgender kids a legislative prio… https://t.co/0fZ5G0V1ue,yes,no,no,no,no,no
transkanye,👻 bro stop the fucking car 🏳️‍⚧️ 👻,😈 any pronouns- if you DARE😈,🎃 hey i'm gf/collette/barbara 🎃my baby: @ItoSaihara_ 🎃💗💕@plutoexpanded🐁💕💗 is cute 🎃 d sides gf's canon wife 🎃professional soul bf objectifier 🎃,"the fuck is up with the new qrts yall 

transgender - assigned male at birth but later changed to female 
biromanti… https://t.co/bxoUO9xpAp",no,no,no,no,no,no
Real_FN_Strange,MS,,,RT @RWPUSA: This is ridiculous. The Senate has hearings to confirm judges and some senators just want to talk about where to go potty.....…,no,no,no,no,no,no
jeffdunlap6182,Mary Jeff Dunlap,"North Carolina, USA",,RT @7SealsOfTheEnd: Twitter removes U.S. Rep. Jim Banks' tweet regarding transgender four-star officer appointed by Biden https://t.co/8ZvK…,no,no,no,no,no,no
khenry657,Kim Henry,Nashville,#AllLivesMatter #BackTheBlue #WakeUpAmerica,RT @jsolomonReports: Rep. Banks’ Twitter account suspended over calling transgender HHS official Rachel Levine ‘a man’ | Just The News http…,no,no,no,no,no,no
jeffdunlap6182,Mary Jeff Dunlap,"North Carolina, USA",,RT @EndTimeHeadline: Twitter has removed a tweet by U.S. Rep. Jim Banks regarding the transgender four-star officer appointed by Joe Biden…,no,no,no,no,no,no
rdmghost1,ArD,"New York, NY","👋🏾👉🏾 🚪(Header is Trivium’s bassist, Paolo)",RT @UbakaOgbogu: The amount of abuse I received from transphobes in the past 24 hours is quite something. As someone who gets abuse from ra…,no,no,no,no,no,no
MikeOFranciss,MichaelOFrancis,,,"@shane_mcminn @strdst1970 “A transgender” 😂
I can’t with you people.",no,no,no,no,no,no
Gulli28,Gulli Az2,,Born in Politics.. I am Here to Resist. Fight for 🇺🇸 and our Democracy. LGBTQ ally #StillWithHer  @GulliAz is my Main Account. This Is My Back up Account.,"RT @PattyArquette: Murdered, Suffocated And Burned Alive – 350 Transgender People Killed In 2020.  https://t.co/u5T49yEAne",no,no,no,no,no,no
jbgreenan,Jonathan Greenan,Epekwitk/The Potato Republic,Turbulent priest | lawyer | J! champ | 🥌 club champ | settler | ally | makes good trouble | punches upward | progressive | work in-progress | 💉 x2 | He/him,RT @UbakaOgbogu: The amount of abuse I received from transphobes in the past 24 hours is quite something. As someone who gets abuse from ra…,yes,no,no,no,no,no
liberalJew1,(((Jewish Queen Rebecca ✡🏳️‍⚧️))),🇺🇲/🇮🇱/🇩🇪,21 yrs old Jewish Merav Michaeli and Yair Golan Stan 🟣 2SS supporter future lawyer Bisexual 🏳️‍🌈 Trans 💕@juliawritescode💕 Pronouns: She/Her/Hers,Doing a speech about Transgender people who are some important Trans people I should mention?,no,yes,no,no,no,no
TDividual,The Original Dividual,,Musing from my inner parliament,@J94808535 @ruth_walshe The medical community stands behind transgender people. - u r crazy.,no,no,no,no,no,no
barely_a_spec,barely a spec 🏳️‍🌈,,cis lesbian ~ Black Lives Matter ~ Trans Rights Are Human Rights ~ she/her,RT @UbakaOgbogu: The amount of abuse I received from transphobes in the past 24 hours is quite something. As someone who gets abuse from ra…,no,yes,no,no,no,no
