screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
CardiffFeminist,Bethasaurus Rex 🏴󠁧󠁢󠁷󠁬󠁳󠁿,,adjectives: fabulous/outspoken/Welsh,"@CJ_liberte @EgaliteUK They become insistent that I'm wrong, then I dig my heels in and will argue my case, which I… https://t.co/yGmjKjLJR6",no,no,no,no,no,no
TrumpsterTrash,God Zilla 🇨🇦 💚🤍💜,,"Lover of whisky, food, dogs, politics, textile art, language, science, not necessarily in that order. Medical translator, writer, revisor. Quilt artist.",RT @FrankBlack_MM: Why would big media fail to use the word transgender or transwoman in an article where the subject is a sadistic murdere…,no,no,no,no,no,no
TrumpsterTrash,God Zilla 🇨🇦 💚🤍💜,,"Lover of whisky, food, dogs, politics, textile art, language, science, not necessarily in that order. Medical translator, writer, revisor. Quilt artist.",RT @FrankBlack_MM: The story then goes on to tell us all about the brutal history of this 'woman' murderer (not murderess!) Throughout she/…,no,no,no,no,no,no
MrNesbith,Mr. Whipple Nesbith,Astral Plane ,Posts on social media do not define me. It is not the whole of who I am. ,"@perdricof I've seen a 6'5"" transwoman yell threats of rape and death at women and grandmothers at the Vancouver Pu… https://t.co/d2yICOniUE",no,no,no,yes,no,no
Liberty24485298,Candela,"Pompano Beach, FL",“Do unto others as you would have them do unto you“. Black trans-women need our help! 🌟 R.I.P. Royal Poetical Starz (1995-2021) 🌟 #justice4poetical,@RBReich Also protect the people’s right to choose how they want to live #justice4poetical #transwoman #blackTRANSlivesmatter,no,no,no,no,no,no
DaphneClaus,🏳️‍🌈Daphne Christina Snow🧡,🎃Halloween Town🎃,Trans Woman. Looking for friends. I love to write erotica and other stories. Movie and TV Buff. 🎮 Gamer Girl. DMs open to friendly people. HRT soon.,At times I do take backside pictures in bodysuits. And leg pictures. I am very proud of my figure. I will not post… https://t.co/Oh6zv9W6dA,no,no,no,no,no,no
Liberty24485298,Candela,"Pompano Beach, FL",“Do unto others as you would have them do unto you“. Black trans-women need our help! 🌟 R.I.P. Royal Poetical Starz (1995-2021) 🌟 #justice4poetical,@HillaryClinton @shellyKC2105 @TerryMcAuliffe How about addressing the senseless killings of trans-women in our cou… https://t.co/116dfN78Nb,no,no,no,no,no,no
Liberty24485298,Candela,"Pompano Beach, FL",“Do unto others as you would have them do unto you“. Black trans-women need our help! 🌟 R.I.P. Royal Poetical Starz (1995-2021) 🌟 #justice4poetical,"@MichelleObama @POTUS @VP While that is very good, trans-women continue to be killed every day and most of it goes… https://t.co/1mpJB5o1LQ",no,no,no,no,no,no
Liberty24485298,Candela,"Pompano Beach, FL",“Do unto others as you would have them do unto you“. Black trans-women need our help! 🌟 R.I.P. Royal Poetical Starz (1995-2021) 🌟 #justice4poetical,@AaronParnas Also addressing social issues that most politicians choose to ignore would help. Especially regarding… https://t.co/B9r5Xhflo9,no,no,no,no,no,no
Mare_frigoris01,Audrey 🌸,,"I've been away
maybe you missed me, maybe you didn't",@michaeljspence @SzMarsupial You can't be a transwoman unless you're a man or did you not get that memo?,no,no,no,no,no,no
Liberty24485298,Candela,"Pompano Beach, FL",“Do unto others as you would have them do unto you“. Black trans-women need our help! 🌟 R.I.P. Royal Poetical Starz (1995-2021) 🌟 #justice4poetical,@electMikeHarvey What is your agenda on LGBTQ issues? Especially regarding the senseless killings of black-trans wo… https://t.co/ThKm2l5gnK,no,no,no,no,no,no
Saintonge235,Stephen St. Onge,"Minneapolis, MN 55409",The opinions expressed in this blog are yours. The fact that you disagree with them shows you need psychiatric help for your dissociative identity disorder.,"Oh, you are behind the curve, Matthew. A #Transwoman is a female, and her penis and testicles are female dicks and… https://t.co/O6m6n6TcVI",no,no,no,no,no,no
Gattungswesen1,Gattungswesen,,,@notinourstars @roguecogue @JamJarJinx @dinahbrand2 @RealLyndaCarter Again more assumptions about transwoman lol In… https://t.co/N6xgcqLmD5,no,no,no,no,no,no
Iamthisnotthat1,This is this and that is that ⚢ 🟩⬜️🟪,The well of unwell,"Angry small woman from a small town.
Dinosauring. Hoarding.
Still can't get married on my beloved woman.
Call me: Your Highness/Their Highness/Their Highnesses",@EdwinDroom @redtache @theedijester @fickleskittle @SophieXY44 @xoundmind @esseeeayeenn @CCSDvoice @unreticulated… https://t.co/As4sgiBhAf,no,no,no,no,no,no
aquarianbrotha,danteisanaquarius,"Baltimore, MD","(AAS), Administrative Professional, Community Supporter/Advocate/Volunteer  IG: iamaquarianbrotha0218 #BTANMARYLAND btanmaryland@gmail.com",Chile Y'all only care about that WHITE Transwoman bc y'all favorite entertainer used her for his comedy material.… https://t.co/gx5hHXzUrs,no,no,no,no,no,no
galacticwhale,galacticwhale,,"paint gendered
pronouns: sherwin/williams
#actuallyautistic #cureforautismnow","@AdotKitz @jk_rowling Stating scientific facts doesn't make someon a TERF.  By that logic this person, a TRANSwoman… https://t.co/FnoteuMsfF",no,no,no,no,no,no
AncapPartyUSA,AncapPartyUSA,United States,"Official Account of the Decentralized Anarcho-Capitalist/Voluntarist Party of the USA

https://t.co/Q1GFSGp0Pq
r/AncapPartyUSA
+AncapPartyUSA",@PostAshley42 everybody gangsta till the transwoman is transphobic,no,no,no,no,no,no
PrimalHearth,Night Shayde,,Alpha Male / Traditional Witch / Ancestral Pagan / Married,"Radical Gender Theory(RGT) is a scapegoat and gateway for sexual assault. If you identify as a ""transwoman"" you are… https://t.co/cSqnhYURU9",no,no,no,no,no,no
HbO21221,🟥Hb鉛筆,トランスアトランティックアクセント,"読んで勇気をもらう用
RT多めでたまにぽつぽつ喋ります ルー語
性格ほど口は悪くない  
Don't you mis'cis' me. マイルド反出生 ☽︎︎︎◯☾","RT @LottieHistory: @MargaretAtwood No, but you can’t ignore the instances of women’s lives being ruined in the name of “trans inclusivity”.…",no,no,no,no,no,no
J0HNREID,John Reid,,,"Have you ever heard of Rachel Dolazel A white woman wanted 2b black so for yrs put black make up on,had a Afro
Told… https://t.co/mA47iY0rva",no,no,no,no,no,no
XO83766320,XOTurner,,Independent because bad ideas don't have a political affiliation. I was born with Turner Syndrome 🦋#MutantandProud  ☘️🌬💖☮️🦁,"@AddictionDebate @adhib “ if you were to reproduce , how would you you share your genetic offspring “ 

The answer… https://t.co/Q1VuL06U1I",no,no,no,no,no,no
F51653073,Baby She-Rex 🦕🦖🥚,,"“Freedom is the freedom to say that two plus two make four. If that is granted, all else follows” George Orwell, 1984","RT @LottieHistory: @MargaretAtwood No, but you can’t ignore the instances of women’s lives being ruined in the name of “trans inclusivity”.…",no,no,no,no,no,no
desertjeweIz,tris,20 • she/her,desert jewelz jade enthusiast,@shxrdzmotion so odd sounds like a hatred for transwoman to me!,no,yes,no,no,no,no
flygirlie30,Flygirlie21,"Prestwick, Scotland",Just a Scottish lass who wants to have my kids future in Scotland's hands Hope over Fear #normal. No DMs please.,"RT @LottieHistory: @MargaretAtwood No, but you can’t ignore the instances of women’s lives being ruined in the name of “trans inclusivity”.…",no,no,no,no,no,no
RabMacPhoto,#CyborgCybernat,Through the looking glass,"If you end up with just that one image it's been a good day! #Nature, #Architecture and #Abstract #Photography. #SupportIndieFilm No DMs dammit","@poddtadre @MorganFailchild @heinolagreen @compoundsighs @adelepatti In what way?

How does this transmogrification… https://t.co/VEhIJNT8wv",no,no,no,yes,no,no
